city,state,area,time,number,lat,lon,score
Troy,Michigan,1073.0,7.314550734,6,42.6064095,-83.1497751,880.1634214
Rochester Hills,Michigan,1073.0,7.360448601,6,42.6583661,-83.14993220000001,874.6749482999999
Chino,California,930.0,4.323242658,4,34.0122346,-117.68894399999999,860.4652327
Pomona,California,930.0,4.34561556,4,34.055103,-117.7499909,856.0352264
Dearborn,Michigan,1073.0,7.6156662410000004,6,42.3222599,-83.1763145,845.3626768999999
Rio Rancho,New Mexico,1340.0,6.361514614,4,35.2327544,-106.66304369999999,842.566641
Ann Arbor,Michigan,1173.0,10.16066911,7,42.2808256,-83.7430378,808.1160712000001
Albuquerque,New Mexico,1340.0,6.634025491,4,35.0853336,-106.6055534,807.9558945
Chino Hills,California,930.0,4.6350034,4,33.989818799999995,-117.7325848,802.5884079
Sterling Heights,Michigan,1073.0,8.149301588,6,42.5803122,-83.0302033,790.0063497000001
Warwick,Rhode Island,1815.0,41.89149623,18,41.700100899999995,-71.4161671,779.8718819000001
Warren,Michigan,1073.0,8.285768789,6,42.5144566,-83.01465259999999,776.994889
Corona,California,930.0,4.822453638,4,33.8752935,-117.56643840000001,771.3915527
Detroit,Michigan,1073.0,8.458576921,6,42.331427000000005,-83.0457538,761.120938
Billings,Montana,1784.0,4.691189936000001,2,45.783285600000006,-108.50069040000001,760.5746194
Perris,California,930.0,5.12914876,4,33.7825194,-117.22864779999999,725.2665450000001
Flint,Michigan,1213.0,13.44317775,8,43.012527399999996,-83.6874562,721.8531349
Visalia,California,2038.0,8.496672874,3,36.330228399999996,-119.2920585,719.5757788
Fond du Lac,Wisconsin,1084.0,15.44062339,10,43.7730448,-88.44705079999999,702.0441939
West Covina,California,930.0,5.353324506,4,34.0686208,-117.93895259999998,694.8952928
Baldwin Park,California,930.0,5.4312708679999995,4,34.0852868,-117.96089779999998,684.9225697
Lansing,Michigan,1439.0,25.53704412,12,42.732535,-84.55553470000001,676.1941561000001
Erie,Pennsylvania,1517.0,20.7148153,9,42.1292241,-80.085059,659.0934943
Hemet,California,930.0,5.713825466,4,33.7475203,-116.97196840000001,651.0524381
Arcadia,California,930.0,5.769710503,4,34.139729200000005,-118.0353449,644.7463868
Menifee,California,930.0,5.804676604,4,33.6971468,-117.185294,640.8625758
Grand Rapids,Michigan,1361.0,21.24632732,10,42.9633599,-85.6680863,640.5813012
El Monte,California,930.0,5.925366764,4,34.0686206,-118.02756670000001,627.8092392000001
Fall River,Massachusetts,1380.0,28.9897994,13,41.7014912,-71.1550451,618.8383627999999
Wyoming,Michigan,1231.0,18.12450685,9,42.9133602,-85.7053085,611.2718041
Fullerton,California,930.0,6.246166336,4,33.8703596,-117.9242966,595.5653116000001
Whittier,California,930.0,6.308070406000001,4,33.97917929999999,-118.032844,589.7207482999999
Toledo,Ohio,1217.0,14.57283339,7,41.6639383,-83.555212,584.5808961
Bloomington,Minnesota,696.0,9.53051443,8,44.840798,-93.29827990000001,584.2286941000001
Anaheim,California,930.0,6.402451941,4,33.8352932,-117.91450359999999,581.0273992000001
Orange,California,930.0,6.413900577000001,4,33.787794399999996,-117.8531119,579.9902812999999
Madison,Wisconsin,1073.0,22.33314811,12,43.07305170000001,-89.4012302,576.5420951
Alhambra,California,930.0,6.517306901,4,34.095287,-118.1270146,570.7879123
Pasadena,California,930.0,6.519231913,4,34.1477849,-118.1445155,570.6193688999999
Tustin,California,930.0,6.578042257999999,4,33.7458511,-117.82616599999999,565.5178022000001
Buena Park,California,930.0,6.653599835,4,33.867514299999996,-117.99811809999999,559.0958417
Santa Ana,California,930.0,6.753538531,4,33.7455731,-117.8678338,550.8223552000001
Palmdale,California,930.0,6.807167266,4,34.5794343,-118.11646129999998,546.4828254
Lake Forest,California,930.0,6.808234945,4,33.6469661,-117.689218,546.397125
Parma,Ohio,1045.0,15.34231965,8,41.404774200000006,-81.72290859999998,544.898046
Cleveland,Ohio,1045.0,15.41881381,8,41.499320000000004,-81.6943605,542.1947565
Irvine,California,930.0,6.885030545,4,33.6839473,-117.79469420000001,540.3026139
Garden Grove,California,930.0,6.906782385,4,33.773905299999996,-117.9414477,538.6010144999999
Murrieta,California,930.0,6.941440366,4,33.553914299999995,-117.21392320000001,535.9118286
Norwalk,California,930.0,6.955656576,4,33.9022367,-118.08173300000001,534.8165136
Minneapolis,Minnesota,696.0,10.43296038,8,44.977753,-93.2650108,533.6931991
Elyria,Ohio,1005.0,13.41883917,7,41.36837979999999,-82.10764859999999,524.2629344
Downey,California,930.0,7.1001552310000005,4,33.9401088,-118.13315929999999,523.9322070000001
Mission Viejo,California,930.0,7.114513027,4,33.6000232,-117.67199529999999,522.8748596
Bellflower,California,930.0,7.264470827999999,4,33.881681799999996,-118.1170117,512.0813459999999
Westminster,California,930.0,7.30153097,4,33.7513419,-117.99399209999999,509.4821915
Glendale,California,930.0,7.317092255,4,34.1425078,-118.255075,508.398674
St. Paul,Minnesota,741.0,13.17412131,9,44.953702899999996,-93.0899578,506.21971990000003
Las Cruces,New Mexico,1310.0,5.238961163,2,32.3199396,-106.7636538,500.0991453
Los Angeles,California,930.0,7.439936502999999,4,34.0522342,-118.24368490000002,500.00426730000004
Temecula,California,930.0,7.473170403999999,4,33.4936391,-117.14836480000001,497.7807007
Lakewood,California,930.0,7.501028198999999,4,33.853626899999995,-118.13395630000001,495.93201110000007
Lancaster,California,930.0,7.510209062,4,34.6867846,-118.1541632,495.3257585
Appleton,Wisconsin,917.0,14.86845882,8,44.2619309,-88.4153847,493.393437
South Gate,California,930.0,7.546956947999999,4,33.954737,-118.21201609999999,492.9139023
Plymouth,Minnesota,696.0,11.37896941,8,45.01051939999999,-93.4555093,489.32375139999994
Burbank,California,930.0,7.6494737079999995,4,34.18083920000001,-118.30896609999998,486.307966
Costa Mesa,California,930.0,7.670379343,4,33.6411316,-117.9186689,484.9825326
Brooklyn Park,Minnesota,696.0,11.69694322,8,45.0941315,-93.3563405,476.02180300000003
Compton,California,930.0,7.835633985,4,33.8958492,-118.2200712,474.75418160000004
Newport Beach,California,930.0,7.8654194770000005,4,33.6189101,-117.9289469,472.95633899999996
Huntington Beach,California,930.0,7.898957169,4,33.660297,-117.99922649999999,470.94824289999997
New Bedford,Massachusetts,1052.0,22.43339505,10,41.6362152,-70.934205,468.94373229999997
Green Bay,Wisconsin,1153.0,25.36283974,10,44.519159,-88.019826,454.60209180000004
Long Beach,California,930.0,8.273026557,4,33.770050399999995,-118.1937395,449.6540625
Inglewood,California,930.0,8.46188963,4,33.9616801,-118.3531311,439.61811869999997
Carson,California,930.0,8.502431684,4,33.8316745,-118.28169299999999,437.52189239999996
New Berlin,Wisconsin,904.0,24.98512934,12,42.9764027,-88.10842240000001,434.1782607
Hawthorne,California,930.0,8.61428633,4,33.9164032,-118.35257479999999,431.84076519999996
Torrance,California,930.0,8.854907629,4,33.835849200000006,-118.34062879999999,420.1060198
Lincoln,Nebraska,730.0,3.48911196,2,40.8257625,-96.6851982,418.4445832
Milwaukee,Wisconsin,904.0,26.29275969,12,43.0389025,-87.9064736,412.5850663
Santa Monica,California,930.0,9.252647284,4,34.01945429999999,-118.4911912,402.0470992
Indio,California,930.0,9.332878682,4,33.7205771,-116.2155619,398.590845
Santa Clarita,California,930.0,9.351752982999999,4,34.3916641,-118.54258600000001,397.7863837
Rockford,Illinois,892.0,23.2779473,10,42.2711311,-89.09399520000001,383.1953
Vista,California,930.0,9.906233413999999,4,33.2000368,-117.2425355,375.5211335
Oceanside,California,930.0,9.970330415,4,33.1958696,-117.3794834,373.106993
Rochester,Minnesota,776.0,19.17568423,9,44.0121221,-92.4801989,364.2112539
Carlsbad,California,930.0,10.27937861,4,33.158093300000004,-117.3505939,361.8895792
San Marcos,California,930.0,10.41646041,4,33.1433723,-117.1661449,357.1270714
Kalamazoo,Michigan,456.0,7.733090903,6,42.291706899999994,-85.5872286,353.8041948
St. Joseph,Missouri,710.0,4.0200499789999995,2,39.767457799999995,-94.846681,353.2294393
Escondido,California,930.0,10.67909979,4,33.1192068,-117.086421,348.34396830000003
Pittsburgh,Pennsylvania,863.0,25.87950229,10,40.440624799999995,-79.9958864,333.4685459
Simi Valley,California,690.0,4.180660326,2,34.2694474,-118.78148200000001,330.0913952
Thousand Oaks,California,690.0,4.423232358,2,34.1705609,-118.83759369999999,311.9890362
Pueblo,Colorado,800.0,3.008178749,1,38.2544472,-104.60914090000001,265.9416434
Wheaton,Illinois,159.0,1.9116758790000001,3,41.8661403,-88.1070127,249.5192858
Oxnard,California,690.0,5.649254737000001,2,34.1975048,-119.17705159999998,244.2800094
Akron,Ohio,362.0,8.911045626,6,41.081444700000006,-81.51900529999999,243.74243959999998
San Buenaventura (Ventura),California,690.0,5.820599556,2,34.274646000000004,-119.22903159999998,237.08897799999997
Lynchburg,Virginia,520.0,11.12305863,5,37.4137536,-79.1422464,233.7486555
Racine,Wisconsin,534.0,25.50980678,11,42.7261309,-87.78285229999999,230.26438619999996
Fayetteville,North Carolina,270.0,3.5507673989999997,3,35.0526641,-78.87835849999999,228.11970180000003
Kenosha,Wisconsin,502.0,22.71307201,10,42.5847425,-87.8211854,221.0180991
Roanoke,Virginia,495.0,9.683194198999999,4,37.270970399999996,-79.9414266,204.4779811
Naperville,Illinois,159.0,2.411828578,3,41.7508391,-88.15353520000001,197.77525
St. George,Utah,600.0,3.089071917,1,37.0965278,-113.5684164,194.23309530000003
El Paso,Texas,560.0,2.9756918480000003,1,31.7618778,-106.48502169999999,188.1915294
Aurora,Illinois,159.0,2.670578408,3,41.7605849,-88.3200715,178.612992
Raleigh,North Carolina,270.0,4.589118044,3,35.7795897,-78.6381787,176.5045031
Bolingbrook,Illinois,159.0,2.73453248,3,41.6986416,-88.0683955,174.435668
Cary,North Carolina,270.0,4.648081727,3,35.791540000000005,-78.78111690000001,174.2654384
Porterville,California,450.0,2.6548222630000002,1,36.06523,-119.0167679,169.50287269999998
Livermore,California,240.0,1.451209009,1,37.6818745,-121.7680088,165.3793481
Waukegan,Illinois,312.0,13.76732124,7,42.3636331,-87.84479379999999,158.636525
Evanston,Illinois,335.0,14.83302965,7,42.0450722,-87.6876969,158.0931243
Dayton,Ohio,264.0,3.39282608,2,39.758947799999994,-84.1916069,155.6224774
Elgin,Illinois,241.0,7.986273509,5,42.035408399999994,-88.2825668,150.88388830000002
Davenport,Iowa,222.0,4.4751062180000005,3,41.5236437,-90.57763670000001,148.8232832
Pleasanton,California,240.0,1.634230265,1,37.6624312,-121.8746789,146.85812959999998
Westerville,Ohio,224.0,3.0723502380000003,2,40.126174299999995,-82.9290696,145.81670880000001
Cincinnati,Ohio,264.0,3.661022993,2,39.103118200000004,-84.5120196,144.22198410000001
Schaumburg,Illinois,225.0,7.930595587999999,5,42.0333607,-88.0834059,141.85567619999998
Arlington Heights,Illinois,262.0,11.11318295,6,42.0883603,-87.9806265,141.4536237
Chicago,Illinois,285.0,12.21292117,6,41.8781136,-87.62979820000001,140.01564209999998
Milpitas,California,240.0,1.720450328,1,37.4323341,-121.8995741,139.4983605
Durham,North Carolina,270.0,5.879873851,3,35.99403289999999,-78.898619,137.7580575
San Jose,California,240.0,1.7584038080000002,1,37.338208200000004,-121.88632859999998,136.4874205
Elmhurst,Illinois,225.0,8.566576719,5,41.8994744,-87.9403418,131.3243361
Fremont,California,240.0,1.836132232,1,37.548269700000006,-121.98857190000001,130.7095403
San Ramon,California,240.0,1.850329025,1,37.7799273,-121.9780153,129.70666119999999
Santa Clara,California,240.0,1.862009276,1,37.354107899999995,-121.9552356,128.8930206
Cicero,Illinois,235.0,9.135647076,5,41.8455877,-87.7539448,128.6170525
Columbus,Ohio,224.0,3.520304602,2,39.9611755,-82.9987942,127.26171470000001
Fort Wayne,Indiana,354.0,11.2638496,4,41.079273,-85.13935129999999,125.71190590000002
South Bend,Indiana,235.0,9.427709903,5,41.676354499999995,-86.25198979999999,124.63260030000001
Union City,California,240.0,1.928450711,1,37.59339179999999,-122.0438298,124.45223440000001
Gary,Indiana,285.0,13.79992171,6,41.5933696,-87.3464271,123.9137465
