link,Advanced Runs,Number Lifts,Address,Intermediate Runs,Skiable Terrain,City,Max Ticket Price,Terrain Parks,Min Ticket Price,Expert Runs,Resort Name,Latitude,Average Snowfall,Longitude,Night Skiing,Beginner Runs,Runs,Open/Close Dates,Rating,Zip Code,State,Elevation
http://www.onthesnow.com/montana/bridger-bowl/ski-resort.html,18,8,15795 Bridger Canyon Rd.,28,2000,Bozeman,54.00,2,0.00,42,Bridger Bowl,45.816956,350,-110.883336,False,12,105,12/11-4/ 3,3.2,59715,Montana,6100ft - 8700ft
http://www.onthesnow.com/utah/brighton-resort/ski-resort.html,25,6,12601 Big Cottonwood Canyon Rd,39,1050,Brighton,75.00,1,0.00,15,Brighton Resort,40.6223676,500,-111.5932349,True,21,66,11/18-4/17,3.7,84121,Utah,8754ft - 10500ft
http://www.onthesnow.com/new-york/bristol-mountain/ski-resort.html,20,6,5662 Route 64,45,160,Canandaigua,72.00,3,0.00,0,Bristol Mountain,42.745233,60,-77.40474619999999,True,35,34,12/22-4/ 5,3.4,14424,New York,1000ft - 2200ft
http://www.onthesnow.com/vermont/bromley-mountain/ski-resort.html,32,8,PO Box 1130,36,178,Manchester,73.00,3,41.00,2,Bromley Mountain,43.1817098,145,-73.051705,False,30,47,11/28-4/10,3,05255,Vermont,1950ft - 3283ft
http://www.onthesnow.com/wisconsin/bruce-mound/ski-resort.html,50,5,517 Court St.,17,40,Neilsville,23.00,2,9.00,16,Bruce Mound,44.029606,42,-88.17754219999999,True,17,12,3/13-3/13,3.2,54754,Wisconsin,1000ft - 1375ft
http://www.onthesnow.com/idaho/brundage-mountain-resort/ski-resort.html,10,5,P.O. Box 1062,50,1500,McCall,62.00,2,18.00,20,Brundage Mountain Resort,44.9340959,320,-116.064759,False,20,46,12/11-4/10,3.1,83638,Idaho,5839ft - 7639ft
http://www.onthesnow.com/virginia/bryce-resort/ski-resort.html,13,7,P.O. Box 3,50,25,Basye,63.00,0,0.00,0,Bryce Resort,38.853359,30,-78.7175309,True,38,8,1/ 7-3/28,2.8,22810,Virginia,1250ft - 1750ft
http://www.onthesnow.com/minnesota/buck-hill/ski-resort.html,16,8,15400 Buck Hill Road,34,45,Burnsville,44.00,0,26.00,16,Buck Hill,44.7248619,60,-93.2837332,True,34,16,12/19-3/15,3,55306,Minnesota,918ft - 1225ft
http://www.onthesnow.com/minnesota/buena-vista-ski-area/ski-resort.html,25,6,621 Lake Julia Drive NW,55,30,Bemidji,N/A,0,N/A,0,Buena Vista Ski Area,47.667616,78,-94.8860522,True,20,17,11/28-3/15,2.8,56601,Minnesota,1280ft - 1510ft
http://www.onthesnow.com/new-york/buffalo-ski-club-ski-area/ski-resort.html,0,7,P.O. Box 608,46,225,Orchard,45.00,1,30.00,34,Buffalo Ski Club Ski Area,43.3716699,N/A,-78.27044219999999,True,20,43,1/12-3/29,2.8,14033,New York,2025ft - 3429ft
http://www.onthesnow.com/michigan/caberfae-peaks-ski-golf-resort/ski-resort.html,32,5,Caberfae Road,33,200,Cadillac,47.00,2,5.00,0,Caberfae Peaks,44.2813299,140,-85.37631689999999,True,35,34,12/ 4-4/ 3,3.1,49601,Michigan,1060ft - 1568ft
http://www.onthesnow.com/maine/camden-snow-bowl/ski-resort.html,61,3,PO Box 1207,30,100,Camden,39.00,2,0.00,0,Camden Snow Bowl,44.259464,69,-69.0283208,True,9,23,1/ 2-4/ 4,2.7,04843,Maine,150ft - 1080ft
http://www.onthesnow.com/pennsylvania/camelback-mountain-resort/ski-resort.html,32,16,PO Box 168,32,160,Tannersville,65.00,5,0.00,3,Camelback Mountain Resort,41.0486401,50,-75.2917343,True,32,35,12/22-4/ 5,3.2,18372,Pennsylvania,1250ft - 2100ft
http://www.onthesnow.com/new-jersey/campgaw-mountain/ski-resort.html,23,5,200 Campgaw Rd.,31,23,Mahwah,45.00,1,0.00,15,Campgaw Mountain,41.0599272,45,-74.18330329999999,True,31,13,1/ 7-3/29,2.8,07430,New Jersey,450ft - 726ft
http://www.onthesnow.com/west-virginia/canaan-valley-resort/ski-resort.html,43,5,HC 70 Box 330,36,91,Davis,59.00,1,0.00,2,Canaan Valley Resort,39.1475548,180,-79.4438449,True,19,47,1/ 6-3/20,3.6,26260,West Virginia,3429ft - 4279ft
http://www.onthesnow.com/new-hampshire/cannon-mountain/ski-resort.html,33,10,Franconia Notch State Park,52,282,Franconia,75.00,3,39.00,0,Cannon Mountain,44.2531679,160,-71.537367,False,15,95,12/ 4-4/10,3.2,03580,New Hampshire,1900ft - 4079ft
http://www.onthesnow.com/michigan/cannonsburg/ski-resort.html,15,10,P.O. Box 19,50,100,Cannonsburg,37.00,5,0.00,0,Cannonsburg,43.0539179,100,-85.4697477,False,35,21,1/ 6-3/22,2.9,49317,Michigan,850ft - 1100ft
http://www.onthesnow.com/wisconsin/cascade-mountain/ski-resort.html,28,11,W10441 Cascade Mtn. Rd.,36,160,Portage,55.00,4,0.00,0,Cascade Mountain,43.5843019,56,-89.4314079,True,36,36,12/18-3/20,3.2,53901,Wisconsin,820ft - 1280ft
http://www.onthesnow.com/north-carolina/cataloochee-ski-area/ski-resort.html,0,5,1080 Ski Lodge Road,39,50,Maggie,65.00,2,0.00,17,Cataloochee Ski Area,35.563065,50,-83.089668,True,44,18,11/22-3/27,3.1,28751,North Carolina,4660ft - 5400ft
http://www.onthesnow.com/new-york/catamount-ski-ride-area/ski-resort.html,19,7,P.O. Box 639 ,42,132,Hillsdale,65.00,3,16.00,6,Catamount,37.261448,108,-121.852197,True,33,36,1/ 7-4/ 5,3.3,12529,New England,1000ft - 2000ft
http://www.onthesnow.com/illinois/chestnut-mountain-resort/ski-resort.html,20,9,P.O. Box 6328,40,139,Galena,N/A,0,N/A,10,Chestnut Mountain Resort,42.442074,50,-90.40099699999999,True,30,22,12/19-3/15,3.2,61036,Illinois,565ft - 1040ft
http://www.onthesnow.com/wisconsin/christie-mountain/ski-resort.html,30,6,W13755  CTH O,23,45,Bruce,N/A,4,N/A,10,Christie Mountain,45.4685069,48,-91.2528699,True,37,30,12/ 5-3/16,3.1,54819,Wisconsin,1300ft - 1650ft
http://www.onthesnow.com/wisconsin/christmas-mountain/ski-resort.html,20,5,S-944 Christmas Mountain Road,40,40,Wisconsin,N/A,0,N/A,0,Christmas Mountain,47.0807296,20,-86.7639767,True,40,15,12/19-3/22,2.8,53965,Wisconsin,1000ft - 1250ft
http://www.onthesnow.com/minnesota/coffee-mill-ski-snowboard-resort/ski-resort.html,7,3,Box 127,29,40,Wabasha,35.00,1,0.00,29,Coffee Mill Ski & Snowboard Resort,44.3942531,48,-91.9782063,True,35,14,4/30-4/30,2.8,55981,Minnesota,725ft - 1150ft
http://www.onthesnow.com/oregon/cooper-spur/ski-resort.html,0,2,10755 Cooper Spur Road,60,50,Mount,32.00,0,10.00,0,Cooper Spur,45.4255158,100,-121.5910985,False,40,10,12/18-3/29,3.3,97041,Oregon,3500ft - 4000ft
http://www.onthesnow.com/colorado/copper-mountain-resort/ski-resort.html,36,23,P.O. Box 3001,25,2465,Copper,78.00,6,54.00,18,Copper Mountain Resort,39.1659094,305,-106.8151886,False,21,142,11/11-4/17,4,80443,Colorado,9702ft - 12312ft
http://www.onthesnow.com/new-hampshire/cranmore-mountain-resort/ski-resort.html,28,7,P.O. Box 1640,44,200,North,N/A,4,N/A,0,Cranmore Mountain Resort,45.3054761,150,-70.6026612,False,28,57,11/27-4/ 5,3.1,03860,New Hampshire,600ft - 2000ft
http://www.onthesnow.com/colorado/crested-butte-mountain-resort/ski-resort.html,15,15,P.O. Box 5700,41,1547,Mt,108.00,1,59.00,30,Crested Butte Mountain Resort,35.363647,300,-114.2350848,False,14,124,11/25-4/ 3,3.9,81225,Colorado,9100ft - 12162ft
http://www.onthesnow.com/new-hampshire/crotched-mountain/ski-resort.html,32,5,"615 Francestown Road, Route 47",40,100,Bennington,64.00,3,46.00,0,Crotched Mountain,42.9979298,105,-71.7545774,True,28,25,1/ 1-4/ 5,3.1,03442,New Hampshire,1050ft - 2066ft
http://www.onthesnow.com/michigan/crystal-mountain/ski-resort.html,30,9,12500 Crystal Mountain Drive,48,103,Thompsonville,72.00,5,29.00,0,Crystal Mountain,44.5192603,132,-85.9906554,True,22,58,12/ 5-4/10,3.6,49683,Michigan,757ft - 1132ft
http://www.onthesnow.com/washington/crystal-mountain/ski-resort.html,32,11,33914 Crystal Mtn Blvd.,54,2600,Crystal,72.00,1,0.00,3,Crystal Mountain,46.9355566,486,-121.4742124,False,11,57,11/21-4/17,3.2,98022,Washington,4400ft - 7012ft
http://www.onthesnow.com/new-hampshire/dartmouth-skiway/ski-resort.html,25,4,DCAD Dartmouth College,50,107,Hanover,47.00,1,25.00,4,Dartmouth Skiway,43.770955,100,-72.075673,False,21,28,1/12-3/27,3.1,03755,New Hampshire,973ft - 1942ft
http://www.onthesnow.com/utah/deer-valley-resort/ski-resort.html,27,21,P.O. Box 1525,41,2026,Park,120.00,0,23.00,5,Deer Valley Resort,30.118589,300,-94.6412756,False,27,101,12/ 5-4/10,4.3,84060,Utah,6570ft - 9570ft
http://www.onthesnow.com/wisconsin/devils-head/ski-resort.html,30,12,S-6330 Bluff Road,40,260,Merrimac,54.00,1,0.00,0,Devils Head,43.3866159,45,-89.61059809999999,True,30,27,12/17-3/20,3.1,53561,Wisconsin,495ft - 995ft
http://www.onthesnow.com/nevada/diamond-peak/ski-resort.html,48,7,1210 Ski Way,42,655,Incline,64.00,3,22.00,0,Diamond Peak,39.2028374,300,-120.208193,False,10,31,12/ 3-4/10,3,89451,Sierra Nevada,6700ft - 8539ft
http://www.onthesnow.com/montana/discovery-ski-area/ski-resort.html,25,8,PO Box 221,25,2000,Anaconda,42.00,1,0.00,30,Discovery Ski Area,46.2668878,200,-112.558457,False,20,67,11/26-4/ 5,3.1,59711,Montana,5770ft - 8150ft
http://www.onthesnow.com/california/dodge-ridge/ski-resort.html,40,12,P.O. Box 1188,40,862,Pinecrest,68.00,5,15.00,0,Dodge Ridge,39.1501549,300,-121.0471452,False,20,67,12/11-4/10,3.1,95364,Sierra Nevada,6600ft - 8200ft
http://www.onthesnow.com/california/donner-ski-ranch/ski-resort.html,25,8,P.O. Box 66,50,505,Norden,59.00,1,20.00,0,Donner Ski Ranch,39.3355533,396,-120.3443659,False,25,52,12/ 5-4/12,3,95724,Sierra Nevada,7031ft - 8012ft
http://www.onthesnow.com/new-york/dry-hill-ski-area/ski-resort.html,33,3,P.O. Box 202,34,35,Watertown,35.00,1,12.00,0,Dry Hill Ski Area,43.99584489999999,125,-75.8545659,True,33,7,1/ 6-3/29,2.8,13601,New York,650ft - 950ft
http://www.onthesnow.com/alaska/eaglecrest-ski-area/ski-resort.html,30,4,155 South Seward St.,40,640,Juneau,46.00,1,21.00,10,Eaglecrest Ski Area,39.9511574,350,-76.7627604,False,20,36,12/19-4/12,3.1,99801,North America,1200ft - 2600ft
http://www.onthesnow.com/utah/eagle-point/ski-resort.html,45,5,150 S West Village Circle,35,600,Beaver,N/A,1,N/A,0,Eagle Point,38.3202311,400,-112.3839036,False,20,40,12/21-3/22,3.4,84713,Utah,9100ft - 10600ft
http://www.onthesnow.com/pennsylvania/eagle-rock/ski-resort.html,43,3,1060 Valley of Lakes,7,N/A,Hazelton,42.00,1,0.00,0,Eagle Rock,40.0620884,N/A,-75.4687392,False,50,14,1/ 5-3/22,3,18202,Pennsylvania,1260ft - 1810ft
