ID,name,city,state,addr,zip,night,beginner,max_price,min_price,intermediate,elev,park,advanced,dates,rating,lfits,area,expert,total_runs,link,avg_snowfall
145,Loveland,Georgetown,CO,PO Box 899,80444,FALSE,13,N/A,N/A,41,10800ft - 13010ft,1,20,10/29-5/ 3,3.4,10,1800,26,94,http://www.onthesnow.com/colorado/loveland/ski-resort.html,422
146,Lutsen Mountains,Lutsen,MN, P.O. Box 129,55612,FALSE,26,82,0,44,800ft - 1687ft,5,20,11/26-4/10,3.2,8,393,9,54,http://www.onthesnow.com/minnesota/lutsen-mountains/ski-resort.html,120
147,Mad River Glen,Waitsfield,VT,P.O. Box 1089,5673,FALSE,20,79,0,35,1600ft - 3637ft,0,45,1/ 9-4/19,3.2,5,115,0,45,http://www.onthesnow.com/vermont/mad-river-glen/ski-resort.html,228
148,Mad River Mountain,Bellefontaine,OH,P.O. Box 22,43311,TRUE,33,45,0,19,1160ft - 1460ft,4,47,1/ 2-3/22,3.1,12,144,2,20,http://www.onthesnow.com/ohio/mad-river-mountain/ski-resort.html,36
149,Magic Mountain,Londonderry,VT,P.O. Box 396,5148,FALSE,30,67,32,30,1150ft - 2850ft,1,15,1/16-4/12,3.4,4,195,25,43,http://www.onthesnow.com/vermont/magic-mountain/ski-resort.html,150
150,Magic Mountain Ski Area,Twin Falls,ID,319 Orchard Dr.,83301,FALSE,25,31,0,25,6500ft - 7200ft,0,20,12/19-3/15,2.9,3,280,30,11,http://www.onthesnow.com/idaho/magic-mountain-ski-area/ski-resort.html,180
151,Mammoth Mountain Ski Area,Mammoth,CA,P.O. Box 24,93546,FALSE,25,N/A,N/A,40,7952ft - 11052ft,11,20,11/ 5-5/29,4.1,28,3500,15,151,http://www.onthesnow.com/california/mammoth-mountain-ski-area/ski-resort.html,400
152,Maple Ski Ridge,Schenectady,NY,2725 Mariaville Road,12306,TRUE,11,38,0,44,750ft - 1200ft,0,44,1/ 9-3/12,2.3,3,25,0,10,http://www.onthesnow.com/new-york/maple-ski-ridge/ski-resort.html,N/A
153,Marquette Mountain,Marquette,MI,4501 M-553,49855,TRUE,15,N/A,N/A,50,757ft - 1357ft,3,35,12/ 3-4/12,3.1,4,169,0,35,http://www.onthesnow.com/michigan/marquette-mountain/ski-resort.html,210
154,Massanutten,Harrisonburg,VA,PO Box 1227,22840,TRUE,30,N/A,N/A,35,1750ft - 2925ft,2,35,1/ 7-3/22,3.4,8,70,0,14,http://www.onthesnow.com/virginia/massanutten/ski-resort.html,35
155,Maverick Mountain,Polaris,MT,Box 475 Maverick Mountain Road,59746,FALSE,30,36,22,40,6500ft - 8520ft,0,30,12/26-3/15,2.7,2,255,0,22,http://www.onthesnow.com/montana/maverick-mountain/ski-resort.html,160
156,McCauley Mountain Ski Center,Old Forge,NY,Town of Webb,13420,FALSE,36,30,15,45,1562ft - 2250ft,1,18,1/ 7-4/ 5,3.2,5,70,0,22,http://www.onthesnow.com/new-york/mccauley-mountain-ski-center/ski-resort.html,200
157,Meadowlark Ski Lodge,Ten Sleep,WY,426 US-16,82442,FALSE,29,48,30,43,8500ft - 9500ft,1,29,1/16-3/29,2.6,3,300,0,14,http://www.onthesnow.com/wyoming/meadowlark-ski-lodge/ski-resort.html,N/A
158,Mission Ridge,Wenatchee,WA,P.O. Box 1668,98807,TRUE,0,55,10,0,4570ft - 6820ft,3,0,12/17-4/12,3.1,6,2000,0,56,http://www.onthesnow.com/washington/mission-ridge/ski-resort.html,200
159,Mohawk Mountain,Cornwall,CT,PO Box 27,6753,TRUE,30,60,15,50,950ft - 1600ft,0,20,1/ 2-3/29,3.2,8,107,0,25,http://www.onthesnow.com/connecticut/mohawk-mountain/ski-resort.html,92
160,Monarch Mountain,Monarch,CO,#1 Powder Place,81227,FALSE,23,74,30,26,10789ft - 11952ft,2,40,11/20-4/10,3.7,6,800,11,62,http://www.onthesnow.com/colorado/monarch-mountain/ski-resort.html,350
161,Montage Mountain,Scranton,PA,1000 Montage Mountain Rd,18507,TRUE,35,59,0,30,960ft - 1960ft,2,20,1/ 7-3/31,3.5,7,140,15,26,http://www.onthesnow.com/pennsylvania/sno-mountain/ski-resort.html,47
162,Montana Snowbowl,Missoula,MT,P.O. Box 8107,59807,TRUE,20,N/A,N/A,40,5000ft - 7600ft,0,40,12/ 4-3/29,3.1,4,950,0,37,http://www.onthesnow.com/montana/montana-snowbowl/ski-resort.html,300
163,Mont Ripley,Houghton,MI,1400 Townsend Drive,49930,TRUE,21,45,33,29,700ft - 1140ft,2,42,12/24-3/20,2.7,4,112,8,25,http://www.onthesnow.com/michigan/mont-ripley/ski-resort.html,275
164,Mountain Creek Resort,Vernon,NJ,200 Route 94,7462,TRUE,17,69.99,0,64,440ft - 1480ft,3,19,1/ 6-4/ 1,3.3,10,167,0,46,http://www.onthesnow.com/new-jersey/mountain-creek-resort/ski-resort.html,65
165,Mountain High,Wrightwood,CA,P.O. Box 3010,92397,TRUE,20,59,0,42,6600ft - 8200ft,1,34,11/ 7-4/10,2.9,14,290,3,59,http://www.onthesnow.com/california/mountain-high/ski-resort.html,108
166,Mount Ashland,Ashland,OR,P.O. Box 220,97520,TRUE,5,46,0,20,6350ft - 7500ft,2,50,12/13-4/10,2.9,5,220,25,23,http://www.onthesnow.com/oregon/mount-ashland/ski-resort.html,300
167,Mount Bohemia,Michigan,MI,Lac La Belle,53066,FALSE,0,59,59,1,600ft - 1500ft,0,88,12/27-5/ 3,3.9,2,585,11,102,http://www.onthesnow.com/michigan/mount-bohemia/ski-resort.html,273
168,Mount Holiday Ski Area,Traverse,MI,3100 Holiday Road,49684,TRUE,30,32,0,40,240ft - 440ft,0,30,1/ 6-3/15,2.9,4,45,0,12,http://www.onthesnow.com/michigan/mount-holiday-ski-area/ski-resort.html,120
169,Mount Holly,Holly,MI,13536 South Dixie Highway,48442,TRUE,30,N/A,N/A,50,755ft - 1105ft,0,20,11/25-3/15,3.2,13,100,0,19,http://www.onthesnow.com/michigan/mount-holly/ski-resort.html,42
170,Mount Kato Ski Area,Mankato,MN,20461 Hwy 66,56001,TRUE,21,41,0,42,300ft - 540ft,4,37,11/27-3/22,2.7,10,55,0,19,http://www.onthesnow.com/minnesota/mount-kato-ski-area/ski-resort.html,50
171,Mount La Crosse,La Crosse,WI,P.O. Box 9,54602,TRUE,30,30,11,20,593ft - 1110ft,1,40,12/26-3/15,2.9,4,100,10,19,http://www.onthesnow.com/wisconsin/mount-la-crosse/ski-resort.html,40
172,Mount Peter Ski Area,Warwick,NY,Rte 17A & Old Mt Peter Rd,10990,TRUE,43,49,25,21,750ft - 1250ft,1,21,1/ 6-3/29,3.1,5,69,14,14,http://www.onthesnow.com/new-york/mount-peter-ski-area/ski-resort.html,50
173,Mount Pleasant of Edinboro,Venango,PA, 23301 Plank Rd ,16403,TRUE,22,38,0,56,1200ft - 1540ft,0,22,12/21-3/25,3.1,2,40,0,10,http://www.onthesnow.com/pennsylvania/mount-pleasant-of-edinboro/ski-resort.html,100
174,Mount Shasta Board & Ski Park,McCloud,CA,4500 Ski Park,96067,FALSE,20,54,12,55,5500ft - 6889ft,3,25,12/17-4/12,2.7,4,425,0,32,http://www.onthesnow.com/california/mount-shasta-board-ski-park/ski-resort.html,300
175,Mount Snow,Somerset,VT,39 Mount Snow Road,5356,FALSE,14,N/A,N/A,73,1900ft - 3600ft,8,13,11/26-4/19,3.4,20,588,0,80,http://www.onthesnow.com/vermont/mount-snow/ski-resort.html,166
176,Mount Southington Ski Area,Southington,CT,P.O. Box 347,6489,TRUE,43,56,14,43,100ft - 525ft,2,14,1/ 5-4/ 5,3,7,51,0,14,http://www.onthesnow.com/connecticut/mount-southington-ski-area/ski-resort.html,80
177,Mount Sunapee,Newbury,NH,P.O. Box 2021 Route 103,3255,FALSE,26,82,49,49,1232ft - 2742ft,4,25,11/27-4/19,2.9,10,232,0,66,http://www.onthesnow.com/new-hampshire/mount-sunapee/ski-resort.html,100
178,Mt. Abram Ski Resort,Greenwood,ME,Howe Hill Road,4255,TRUE,25,N/A,N/A,50,1050ft - 2250ft,0,20,12/ 5-4/12,3.1,5,560,5,54,http://www.onthesnow.com/maine/mt-abram-ski-resort/ski-resort.html,125
179,Mt. Bachelor,Bend,OR,P.O. Box 1000,97702,FALSE,15,84,42,25,5700ft - 9064ft,5,35,11/21-5/30,3.4,12,3683,25,88,http://www.onthesnow.com/oregon/mt-bachelor/ski-resort.html,462
180,Mt. Baker,Bellingham,WA,1420 Iowa St.,98229,FALSE,24,58,25,45,3589ft - 5089ft,0,0,11/19-4/19,3.3,8,1000,31,38,http://www.onthesnow.com/washington/mt-baker/ski-resort.html,682
181,Mt. Baldy,Mt Baldy ,CA,8401 Mt Baldy Rd,91759,FALSE,20,69,29,40,6500ft - 8600ft,0,20,12/29-3/29,2.8,4,400,20,26,http://www.onthesnow.com/california/mt-baldy/ski-resort.html,178
182,Mt. Brighton,Brighton,MI,4141 Bauer Road,48116,TRUE,30,N/A,N/A,40,1100ft - 1330ft,5,30,1/ 1-3/22,2.9,12,130,0,24,http://www.onthesnow.com/michigan/mount-brighton/ski-resort.html,60
