ID,name,city,state,addr,zip,night,beginner,max_price,min_price,intermediate,elev,park,advanced,dates,rating,lfits,area,expert,total_runs,link,avg_snowfall
131,Kelly Canyon Ski Area,Ririe,ID,Box 367,83443,FALSE,35,N/A,N/A,45,5600ft - 6600ft,1,20,12/17-3/15,2.4,6,740,0,51,http://www.onthesnow.com/idaho/kelly-canyon-ski-area/ski-resort.html,200
132,Keystone,Keystone,CO,P.O. Box 38,80435,TRUE,14,N/A,N/A,29,9279ft - 12408ft,1,57,11/ 6-4/10,4.1,20,3148,0,131,http://www.onthesnow.com/colorado/keystone/ski-resort.html,230
133,Killington Resort,Killington,VT,4763 Killington Road,5751,FALSE,28,N/A,N/A,33,1165ft - 4241ft,5,24,10/19-5/29,3.8,22,1509,15,155,http://www.onthesnow.com/vermont/killington-resort/ski-resort.html,250
134,King Pine,Madison,NH,1251 Eaton Rd,3849,TRUE,44,52,0,31,500ft - 850ft,2,10,12/26-3/27,3,6,48,15,17,http://www.onthesnow.com/new-hampshire/king-pine/ski-resort.html,120
135,Kirkwood,Kirkwood,CA,PO Box 1,95646,FALSE,12,N/A,N/A,30,7800ft - 9800ft,2,38,11/14-4/10,3.6,15,2300,20,86,http://www.onthesnow.com/california/kirkwood/ski-resort.html,600
136,Kissing Bridge,Glenwood,NY,P.O. Box 73,14069,TRUE,20,62,0,50,1150ft - 1700ft,5,30,1/ 6-3/29,3,10,700,0,39,http://www.onthesnow.com/new-york/kissing-bridge/ski-resort.html,120
137,Labrador Mt.,Truxton,NY,"Route 91, PO Box 105",13158,TRUE,33,50,15,34,1125ft - 1825ft,1,33,1/ 6-3/29,2.9,4,250,0,22,http://www.onthesnow.com/new-york/labrador-mt/ski-resort.html,125
138,Lee Canyon,Las Vegas,NV,6725 Lee Canyon Rd,89124,FALSE,20,70,0,60,8510ft - 11289ft,1,20,11/27-3/29,2.9,3,70,0,30,http://www.onthesnow.com/nevada/las-vegas-ski-and-snowboard-resort/ski-resort.html,120
139,Liberty,Carroll,PA,78 Country Club Trail,17320,TRUE,35,72,0,40,570ft - 1190ft,3,0,1/ 8-3/22,3,8,100,25,16,http://www.onthesnow.com/pennsylvania/liberty/ski-resort.html,31
140,Little Switzerland,Slinger,WI,105 Cedar Creek Rd,53086,TRUE,39,N/A,N/A,33,1068ft - 1268ft,3,0,12/19-3/22,3,8,50,28,18,http://www.onthesnow.com/wisconsin/little-switzerland/ski-resort.html,N/A
141,Lookout Pass Ski Area,Wallace,ID,P.O. Box 108,83846,FALSE,9,42,0,50,4500ft - 5650ft,3,32,11/26-3/22,3.2,4,540,9,34,http://www.onthesnow.com/idaho/lookout-pass-ski-area/ski-resort.html,400
142,Loon Mountain,Lincoln,NH,60 Loon Mountain Rd.,3251,FALSE,20,85,0,60,950ft - 3050ft,6,17,11/25-4/19,3.9,12,370,3,61,http://www.onthesnow.com/new-hampshire/loon-mountain/ski-resort.html,160
143,Lost Trail - Powder Mtn,Conner,MT,P.O. Box 311,59827,FALSE,20,40,0,60,6400ft - 8200ft,2,20,12/ 3-3/31,2.9,5,1000,0,69,http://www.onthesnow.com/montana/lost-trail-powder-mtn/ski-resort.html,300
144,Lost Valley,Auburn,ME,Box 260,4212,TRUE,47,40,25,20,255ft - 495ft,2,33,12/30-3/29,2.7,2,45,0,16,http://www.onthesnow.com/maine/lost-valley/ski-resort.html,50
