,city,state,area,time,number,lat,lon,avg_time,score
930,Holyoke,Massachusetts,6829.0,84.26003483263743,40,42.2042586,-72.61620090000001,2.106500870815936,3241.8690609678424
255,Gresham,Oregon,5331.0,6.683064096272918,4,45.5001357,-122.43020130000001,1.6707660240682296,3190.751980351676
400,Merced,California,7120.0,15.979296224385779,7,37.3021632,-120.48296770000002,2.2827566034836826,3119.035988827836
892,Westfield,Massachusetts,6524.0,81.78880617880816,39,42.1250929,-72.749538,2.097148876379696,3110.8902536582755
659,Chicopee,Massachusetts,6365.0,76.13587732721011,37,42.14870429999999,-72.6078672,2.057726414248922,3093.2197574589864
462,Manteca,California,7170.0,14.120191493985677,6,37.797427299999995,-121.21605259999998,2.353365248997613,3046.700890588052
161,Springfield,Massachusetts,6255.0,74.36159152352806,36,42.1014831,-72.589811,2.065599764542446,3028.176177869363
766,Methuen,Massachusetts,6469.0,70.01917646717257,32,42.7262016,-71.19089240000001,2.188099264599143,2956.4472255261753
834,Farmington,New Mexico,6779.0,9.198847855810028,4,36.72805830000001,-108.21868559999999,2.299711963952507,2947.7604614227234
144,Vancouver,Washington,5927.0,8.084415993457345,4,45.6387281,-122.6614861,2.021103998364336,2932.5556749166176
70,Henderson,Nevada,2535.0,1.7358585497678225,2,36.0395247,-114.9817213,0.8679292748839113,2920.7448963385473
254,Lowell,Massachusetts,6192.0,68.57917151393899,32,42.633424700000006,-71.31617179999998,2.1430991098105934,2889.273749242165
597,Springfield,Oregon,5044.0,5.2405438349944005,3,44.0462362,-123.02202890000001,1.7468479449981336,2887.4865808685995
525,Portland,Maine,6736.0,56.210799610992794,24,43.66147100000001,-70.2553259,2.342116650458033,2876.0309605769135
426,Lawrence,Massachusetts,6159.0,64.7358930755261,30,42.7070354,-71.1631137,2.157863102517537,2854.212573918343
154,Eugene,Oregon,5044.0,5.337217812871536,3,44.0520691,-123.08675359999998,1.779072604290512,2835.1850215868676
27,Portland,Oregon,4525.0,4.797105864888348,3,45.523062200000005,-122.67648159999999,1.5990352882961159,2829.831232068496
357,Meridian,Idaho,6242.0,8.840721289687881,4,43.61210870000001,-116.39151310000001,2.2101803224219703,2824.2039514494736
130,Worcester,Massachusetts,5811.0,68.87818917597255,33,42.262593200000005,-71.8022934,2.08721785381735,2784.0888718789743
565,Haverhill,Massachusetts,6046.0,65.41127976986576,30,42.7762015,-71.0772796,2.1803759923288584,2772.9162407178546
808,Twin Falls,Idaho,3976.0,5.834591021164523,4,42.5629668,-114.46087109999999,1.4586477552911308,2725.812304977244
978,Lake Oswego,Oregon,5886.0,10.866264711389695,5,45.42067489999999,-122.67064979999999,2.173252942277939,2708.382390974918
943,Marlborough,Massachusetts,5868.0,71.8884185083762,33,42.3459271,-71.55228740000001,2.1784369244962485,2693.674503041644
741,Tigard,Oregon,5886.0,11.442606083641829,5,45.4312294,-122.7714861,2.2885212167283657,2571.966541963956
