ID,name,city,state,addr,zip,night,park,beginner,intermediate,advanced,expert,total_runs,area,max_price,min_price,elev,dates,rating,lifts,avg_snowfall,lat,lon,link
95,Eagle Rock,Hazelton,PA,1060 Valley of Lakes,18202,0,1,50,7,43,0,14,N/A,42,0,1260ft - 1810ft,1/ 5-3/22,3,3,N/A,40.9584181,-75.9746472,http://www.onthesnow.com/pennsylvania/eagle-rock/ski-resort.html
96,Eldora Mountain Resort,Nederland,CO,P.O.  Box 1697,80466,0,3,15,52,19,15,54,680,69,12,9200ft - 10800ft,11/20-4/12,3,11,311,39.9613759,-105.5108312,http://www.onthesnow.com/colorado/eldora-mountain-resort/ski-resort.html
97,Elk Mountain Ski Resort,Union,PA,344 Elk Mountain Road,18470,1,2,22,37,41,0,27,180,70,0,1692ft - 2692ft,1/ 3-3/28,3.3,7,60,40.9894888,-77.0564464,http://www.onthesnow.com/pennsylvania/elk-mountain-ski-resort/ski-resort.html
98,Elko SnoBowl,Elko,NV,491 5th Street,89801,0,0,8,90,1,1,10,60,N/A,N/A,6300ft - 7000ft,12/18-3/13,2.6,2,24,40.8324211,-115.7631232,http://www.onthesnow.com/nevada/elko-snobowl/ski-resort.html
99,Elm Creek Winter Recreation Area,Maple,MN,12400 James Deane Parkway,55369,1,0,20,60,0,20,3,15,17,7,867ft - 927ft,12/15-3/20,3.2,3,45,47.4579657,-91.1518254,http://www.onthesnow.com/minnesota/elm-creek/ski-resort.html
100,Enchanted Forest Ski Area,Red River,NM,29 Sangre De Cristo,87558,0,0,30,50,2,18,33,600,18,9,9820ft - 10077ft,11/28-3/22,2.8,0,240,36.7080849,-105.4061159,http://www.onthesnow.com/new-mexico/enchanted-forest-cross-countryski-area/ski-resort.html
101,Four Lakes,Lisle,IL,6005 Forest View Rd.,60532,1,1,40,30,30,0,7,9,28,28,400ft - 500ft,1/ 6-3/15,2.5,7,24,41.801141,-88.0747875,http://www.onthesnow.com/illinois/four-lakes/ski-resort.html
102,Giants Ridge Resort,Biwabik,MN,P.O. Box 190,55708,1,3,31,44,25,0,35,202,N/A,N/A,1472ft - 1972ft,12/ 5-4/ 5,2.7,7,85,47.5329811,-92.3401787,http://www.onthesnow.com/minnesota/giants-ridge-resort/ski-resort.html
103,Gore Mountain,North,NY,P.O. Box 470,12853,1,6,10,51,34,4,109,438,83,40,997ft - 3600ft,11/27-4/19,3.3,15,150,40.7127837,-74.0059413,http://www.onthesnow.com/new-york/gore-mountain/ski-resort.html
104,Grand Geneva,Lake,WI,PO Box 130,53147,1,1,40,30,20,10,18,30,53,0,875ft - 1086ft,1/ 2-3/22,2.5,5,25,45.9405323,-90.5824521,http://www.onthesnow.com/wisconsin/grand-geneva/ski-resort.html
105,Grand Targhee Resort,Alta,WY,3300 E. Ski Hill Road,83414,0,1,10,70,15,5,95,2000,75,0,7850ft - 9920ft,11/20-4/27,3.8,5,500,43.7538103,-111.0368866,http://www.onthesnow.com/wyoming/grand-targhee-resort/ski-resort.html
106,Granite Gorge,Keene,NH,P.O. Box 545,03431,1,0,35,35,15,15,19,55,47,0,800ft - 1325ft,12/30-3/21,2.9,4,100,42.933692,-72.2781409,http://www.onthesnow.com/new-hampshire/granite-gorge/ski-resort.html
107,Granite Peak Ski Area,Wausau,WI,P.O. Box 5010,54402,1,4,30,35,30,5,75,220,N/A,N/A,1242ft - 1942ft,12/19-4/12,3.3,7,75,44.9591352,-89.6301221,http://www.onthesnow.com/wisconsin/granite-peak-ski-area/ski-resort.html
