ID,name,city,state,addr,zip,night,park,beginner,intermediate,advanced,expert,total_runs,area,max_price,min_price,elev,dates,rating,lifts,avg_snowfall,lat,lon,link
216,Powder Ridge Ski Area,Kimball,MN,P.O. Box 339,55353,1,4,40,40,20,0,15,60,N/A,N/A,500ft - 790ft,12/18-3/22,3.1,6,45,45.3125517,-94.2972055,http://www.onthesnow.com/minnesota/powder-ridge-ski-area/ski-resort.html
217,Purgatory,Durango,CO,#1 Skier Place,81301,0,5,20,45,30,5,91,1360,85,38,8793ft - 10822ft,11/21-4/10,3.8,9,260,37.27528,-107.8800667,http://www.onthesnow.com/colorado/durango-mountain-resort/ski-resort.html
218,Q Burke Mountain Resorts,East Burke,VT,P.O. Box 247,05832,0,1,14,42,34,10,50,270,64,0,1210ft - 3267ft,1/ 6-4/ 5,2.8,6,217,44.589071,-71.9404554,http://www.onthesnow.com/vermont/burke-mountain/ski-resort.html
219,Ragged Mountain Resort,Danbury,NH,620 Ragged Mountain Road,03230,0,3,23,30,39,7,56,240,79,45,1000ft - 2250ft,12/ 5-4/10,3,7,100,43.5256297,-71.8617481,http://www.onthesnow.com/new-hampshire/ragged-mountain-resort/ski-resort.html
220,Red Lodge Mountain,Red Lodge,MT,P.O. Box 750,59068,0,0,17,45,28,10,71,1600,N/A,N/A,7016ft - 9416ft,11/27-4/ 3,3.2,7,250,45.1857782,-109.2468211,http://www.onthesnow.com/montana/red-lodge-mountain/ski-resort.html
221,Red River Ski Area,Red River,NM,400 Pioneer Rd,87558,0,3,32,38,30,0,58,257,68,38,8750ft - 10350ft,11/25-3/20,3,7,218,36.7080849,-105.4061159,http://www.onthesnow.com/new-mexico/red-river/ski-resort.html
222,Roundtop Mountain Resort,Lewisberry,PA,925 Roundtop Rd.,17339,1,2,20,25,40,15,20,103,72,33,800ft - 1400ft,1/ 6-3/22,2.9,8,30,40.1350928,-76.8596945,http://www.onthesnow.com/pennsylvania/roundtop-mountain-resort/ski-resort.html
223,Royal Mountain Ski Area,Caroga,NY,3072 State Highway 10,12032,0,0,33,34,33,0,14,35,40,0,1250ft - 1800ft,1/ 1-4/19,3,3,90,43.1654468,-74.4760088,http://www.onthesnow.com/new-york/royal-mountain-ski-area/ski-resort.html
224,Saddleback Inc.,Rangeley,ME,P.O. Box 490,04970,0,2,35,30,25,10,66,440,69,0,2460ft - 4120ft,2/ 9-4/19,3.3,5,200,44.9656821,-70.6427102,http://www.onthesnow.com/maine/saddleback-inc/ski-resort.html
225,Sandia Peak,Albuquerque,NM,10 Tramway Loop N.E.,87122,0,1,31,46,23,0,39,200,55,30,8677ft - 10377ft,12/26-3/13,2.7,5,49,35.0853336,-106.6055534,http://www.onthesnow.com/new-mexico/sandia-peak/ski-resort.html
226,Sapphire Valley,Cashiers,NC,P.O. Box 2048,28717,1,1,0,0,0,0,2,8,36,20,3200ft - 3450ft,1/ 9-3/ 8,2.3,3,24,35.111906,-83.0996354,http://www.onthesnow.com/north-carolina/sapphire-valley/ski-resort.html
227,Schweitzer,Sandpoint,ID,"10,000 Schweitzer Mountain Road",83864,1,3,10,40,35,15,92,2900,73,40,4000ft - 6400ft,11/25-4/10,3.6,9,300,48.276577,-116.553465,http://www.onthesnow.com/idaho/schweitzer/ski-resort.html
228,Seven Oaks,Boone,IA,1086 222nd Drive,50036,1,2,25,50,25,0,11,35,N/A,N/A,800ft - 975ft,12/30-3/ 8,2.3,4,40,42.0597047,-93.8802273,http://www.onthesnow.com/iowa/seven-oaks/ski-resort.html
229,Seven Springs,Seven,PA,777 Waterwheel Drive,15622,1,7,36,42,18,3,33,285,65,0,2240ft - 2993ft,12/23-4/ 5,3,14,142,41.0199631,-75.1292185,http://www.onthesnow.com/pennsylvania/seven-springs/ski-resort.html
230,Shanty Creek Resorts ? Schuss Mountain,Bellaire,MI,One Shanty Creek Road,49615,1,5,24,24,51,0,41,70,64,40,675ft - 1125ft,12/21-3/22,3,6,180,44.9802822,-85.2111728,http://www.onthesnow.com/michigan/shanty-creek/ski-resort.html
231,Shanty Creek Resorts ? Summit Mountain,Bellaire,MI,5780 Shanty Creek Rd,49615,0,1,18,45,36,0,11,N/A,28,20,675ft - 1125ft,1/19-3/15,0,3,180,44.9802822,-85.2111728,http://www.onthesnow.com/michigan/shanty-creek-resorts-?-summit-mountain/ski-resort.html
232,Shawnee Mountain Ski Area,Shawnee,PA,P.O. Box 339,18356,1,2,26,48,26,0,23,125,60,35,650ft - 1350ft,12/26-3/27,3.1,10,50,41.0123174,-75.1107332,http://www.onthesnow.com/pennsylvania/shawnee-mountain-ski-area/ski-resort.html
233,Shawnee Peak,Bridgton,ME,119 Mountain Road,04009,1,2,25,45,20,10,43,239,N/A,N/A,600ft - 1900ft,12/12-4/ 5,2.9,5,110,44.0548021,-70.7128685,http://www.onthesnow.com/maine/shawnee-peak/ski-resort.html
234,Showdown Montana,Neihart,MT,P.O. Box 92,59465,0,1,28,44,28,0,36,640,43,0,6800ft - 8200ft,12/18-4/ 4,3.1,4,250,46.9332955,-110.7357707,http://www.onthesnow.com/montana/showdown-ski-area/ski-resort.html
235,Sierra-at-Tahoe,Twin Bridges,CA,1111 Sierra-at-Tahoe Road,95735,0,5,25,50,15,10,46,2000,93,29,6639ft - 8852ft,11/20-4/30,3.3,14,480,38.8113429,-120.1206208,http://www.onthesnow.com/california/sierra-at-tahoe/ski-resort.html
236,Silver Mountain,Kellogg,ID,610 Bunker Avenue,83837,1,3,20,40,30,10,80,1600,54,0,4100ft - 6300ft,12/18-3/29,3,7,300,47.5382565,-116.1193327,http://www.onthesnow.com/idaho/silver-mountain/ski-resort.html
237,Silverton Mountain,Silverton,CO,P.O. Box 856,81433,0,0,0,0,0,100,69,1819,49,49,10400ft - 13487ft,12/21-4/12,2.9,1,400,37.811941,-107.6645057,http://www.onthesnow.com/colorado/silverton-mountain/ski-resort.html
238,Sipapu Ski Resort,Vadito,NM,Null,87579,0,4,20,40,30,10,42,200,44,22,8200ft - 9254ft,11/20-4/12,3,6,190,36.1911366,-105.6708481,http://www.onthesnow.com/new-mexico/sipapu-ski-and-summer-resort/ski-resort.html
239,Ski Apache,Ruidoso,NM,Box 220,88312,0,3,18,55,27,0,55,750,68,35,9600ft - 11500ft,11/26-4/ 3,3.1,9,185,33.3672525,-105.6588485,http://www.onthesnow.com/new-mexico/ski-apache/ski-resort.html
240,Ski Big Bear,Lackawaxen,PA,HC1 BOX 1A 353,18435,1,1,33,28,33,6,18,26,57,0,600ft - 1250ft,12/26-4/ 5,2.7,6,69,41.482034,-74.9860016,http://www.onthesnow.com/pennsylvania/big-bear/ski-resort.html
241,Ski Brule,Iron Mountain,MI,397 Brule Mountain Road,49935,1,3,35,35,24,6,17,150,25,0,1360ft - 1860ft,11/22-4/20,4.5,11,150,45.8202334,-88.0659603,http://www.onthesnow.com/michigan/ski-brule/ski-resort.html
242,Ski Butternut,Great,MA,380 State Road - Route 23,01230,0,2,36,36,27,0,22,110,60,15,800ft - 1800ft,12/29-4/ 5,3,11,115,42.5294723,-71.443081,http://www.onthesnow.com/massachusetts/ski-butternut/ski-resort.html
243,Ski China Peak,Lakeshore,CA,P.O. Box 236,93634,0,3,11,28,33,28,45,450,75,23,7029ft - 8708ft,11/27-4/ 3,3.1,11,300,37.2530002,-119.1748429,http://www.onthesnow.com/california/ski-china-peak/ski-resort.html
244,Ski Cooper,Leadville,CO,P.O. Box 896,80461,0,2,28,36,36,0,39,400,48,0,10400ft - 11700ft,11/27-4/10,3.3,4,260,39.2508229,-106.2925238,http://www.onthesnow.com/colorado/ski-cooper/ski-resort.html
245,Ski Granby Ranch,Granby,CO,P.O. Box 1110,80446,1,6,36,40,24,0,40,406,64,0,8202ft - 9202ft,12/17-3/27,3.1,5,220,40.086097,-105.9394597,http://www.onthesnow.com/colorado/ski-granby-ranch/ski-resort.html
246,Ski Mystic at Deer Mountain,Lead,SD,11187 Deer Mountain Rd,57754,1,2,20,30,25,25,45,590,42,4,6039ft - 6850ft,12/25-3/22,2.7,4,200,44.3522065,-103.7651984,http://www.onthesnow.com/south-dakota/ski-mystic-at-deer-mountain/ski-resort.html
247,Ski Santa Fe,Santa Fe,NM,"2209 Brothers Road, Suite 220",87505,0,1,20,40,40,0,79,660,72,52,10350ft - 12075ft,11/26-4/ 3,3.1,7,225,35.6869752,-105.937799,http://www.onthesnow.com/new-mexico/ski-santa-fe/ski-resort.html
248,Ski Sawmill,Morris,PA,383 Oregon Hill Rd.,16938,1,1,35,25,40,0,14,15,37,20,1700ft - 2215ft,1/ 9-3/29,3.1,5,24,41.5950718,-77.2921988,http://www.onthesnow.com/pennsylvania/ski-sawmill/ski-resort.html
249,Ski Snowstar Winter Sports Park,Andalusia,IL,9500 126th St. West,61232,1,1,15,40,45,0,15,28,34,0,527ft - 790ft,1/ 2-3/15,2.9,6,38,41.4391986,-90.717641,http://www.onthesnow.com/illinois/ski-snowstar-winter-sports-park/ski-resort.html
250,Ski Sundown,New Hartford,CT,PO Box 208,06057,1,2,50,25,19,6,16,70,60,18,450ft - 1075ft,1/ 8-4/ 3,3.1,5,45,41.8793214,-72.9751693,http://www.onthesnow.com/connecticut/ski-sundown/ski-resort.html
251,Ski Ward,Shrewsbury,MA,1000 Main St,01545,1,1,30,50,20,0,11,45,45,10,210ft - 420ft,1/ 4-3/15,2.9,4,80,42.2959267,-71.7128471,http://www.onthesnow.com/massachusetts/ski-ward/ski-resort.html
252,Sleeping Giant Ski Resort,Cody,WY,348 Yellowstone Highway,82414,0,2,15,36,37,12,47,184,N/A,N/A,6600ft - 7400ft,12/26-3/ 8,3.3,3,300,44.5263422,-109.0565308,http://www.onthesnow.com/wyoming/sleeping-giant-ski-resort/ski-resort.html
253,Smugglers' Notch Resort,Smugglers Notch,VT,4323 Vermont Route 108 South,05464,0,6,19,50,25,6,78,1000,72,0,1030ft - 3639ft,11/27-4/17,3.6,8,322,44.554511,-72.7955525,http://www.onthesnow.com/vermont/smugglers-notch-resort/ski-resort.html
254,Snowbasin,Huntsville,UT,P.O. Box 460,84317,0,4,11,43,24,22,104,3000,99,0,6400ft - 9350ft,11/25-4/10,3.7,12,300,41.2607744,-111.7699379,http://www.onthesnow.com/utah/snowbasin/ski-resort.html
255,Snowbird,Snowbird,UT,P.O. Box 929000,84092,1,1,27,38,20,15,169,2500,N/A,N/A,7760ft - 11000ft,11/20-5/ 9,4.3,11,500,40.5818948,-111.6552024,http://www.onthesnow.com/utah/snowbird/ski-resort.html
256,Snow Creek,Weston,MO,P.O. Box 567,64098,1,2,22,39,39,0,12,30,N/A,N/A,800ft - 1100ft,1/ 2-3/13,2.6,5,20,39.4111092,-94.9016298,http://www.onthesnow.com/missouri/snow-creek/ski-resort.html
257,Snow King Resort,Jackson,WY,PO Box SKI,83001,1,2,15,25,20,40,32,400,47,0,6237ft - 7808ft,12/ 5-3/27,2.6,3,300,43.4799291,-110.7624282,http://www.onthesnow.com/wyoming/snow-king-resort/ski-resort.html
258,Snow Ridge,Turin,NY,PO Box 100 Route 26,13473,1,2,14,33,33,19,21,130,39,30,1350ft - 2000ft,1/ 1-4/ 3,2.9,6,230,43.6272915,-75.4112896,http://www.onthesnow.com/new-york/snow-ridge/ski-resort.html
259,Snowshoe Mountain Resort,Snowshoe,WV,P.O. Box 10,26209,1,5,36,33,19,3,57,251,N/A,N/A,3347ft - 4847ft,1/ 2-4/ 5,3.5,14,180,38.4132303,-79.9975177,http://www.onthesnow.com/west-virginia/snowshoe-mountain-resort/ski-resort.html
260,Snow Snake Mountain Ski Area,Harrison,MI,3407 E. Mannsiding Road,48625,1,2,30,50,20,0,12,40,27,0,1020ft - 1230ft,1/ 6-3/15,2.9,6,N/A,44.0191862,-84.7994675,http://www.onthesnow.com/michigan/snow-snake-mountain-ski-area/ski-resort.html
261,Snow Summit,Big Bear Lake,CA,P.O. Box 77,92315,1,3,19,54,19,8,26,240,N/A,N/A,7000ft - 8200ft,11/13-3/29,3.1,14,100,34.2438963,-116.9114215,http://www.onthesnow.com/california/snow-summit/ski-resort.html
262,Snow Trails,Mansfield,OH,P.O. Box 1456,44901,1,3,20,60,20,0,17,80,49,16,1173ft - 1475ft,1/ 7-3/23,2.9,9,50,40.75839,-82.5154471,http://www.onthesnow.com/ohio/snow-trails/ski-resort.html
263,Snow Valley,Running,CA,P.O. Box 2337,92382,1,6,14,46,32,7,28,240,66,25,6800ft - 7841ft,11/28-3/22,3,12,160,37.6071475,-120.9487852,http://www.onthesnow.com/california/snow-valley/ski-resort.html
264,Snowy Range Ski & Recreation Area,Centennial,WY,Po Box 247,82055,0,2,30,40,30,0,27,75,45,0,8797ft - 9662ft,11/27-4/ 3,3.1,5,250,41.2983055,-106.1416774,http://www.onthesnow.com/wyoming/snowy-range-ski-recreation-area/ski-resort.html
265,Soda Springs,Truckee,CA,P.O. Box 39,96160,0,0,23,31,46,0,13,200,69,39,6700ft - 7352ft,12/17-3/29,3,4,400,39.327962,-120.1832533,http://www.onthesnow.com/california/soda-springs/ski-resort.html
266,Soldier Mountain Ski Area,Fairfield,ID,P.O. Box 510,83327,0,2,20,50,10,20,36,1142,38,10,5800ft - 7200ft,12/18-3/15,2.4,3,N/A,43.3465675,-114.7917279,http://www.onthesnow.com/idaho/soldier-mountain-ski-area/ski-resort.html
267,Solitude Mountain Resort,Brighton,UT,12000 Big Cottonwood Canyon,84121,0,0,10,40,36,14,77,1200,79,0,7987ft - 10035ft,11/21-4/17,3.5,8,500,40.60384,-111.5821429,http://www.onthesnow.com/utah/solitude-mountain-resort/ski-resort.html
268,Song Mountain,Tully,NY,PO Box 149,13159,1,0,50,29,13,8,24,93,50,15,1240ft - 1940ft,12/24-4/19,2.8,5,125,42.7981229,-76.1093695,http://www.onthesnow.com/new-york/song-mountain/ski-resort.html
269,Spirit Mountain,Duluth,MN,9500 Spirit Mountain Place,55810,1,2,30,35,35,0,22,175,48,5,620ft - 1320ft,12/ 4-3/29,2.9,7,100,46.7866719,-92.1004852,http://www.onthesnow.com/minnesota/spirit-mountain/ski-resort.html
270,Spout Springs,Weston,OR,79327 Highway 204,97813,1,0,45,35,20,0,14,200,35,25,4850ft - 5500ft,1/ 3-3/22,3.1,4,118,45.813744,-118.424688,http://www.onthesnow.com/oregon/spout-springs/ski-resort.html
271,Spring Mountain Ski Area,Spring,PA,P.O. Box 276,19478,1,1,37,50,13,0,9,45,43,5,78ft - 527ft,1/ 6-3/15,2.8,6,20,41.796722,-80.3264521,http://www.onthesnow.com/pennsylvania/spring-mountain-ski-area/ski-resort.html
272,Squaw Valley ,Olympic Valley,CA,PO Box 2007,96146,1,5,9,38,53,0,197,6000,134,66,6200ft - 9050ft,11/12-5/ 2,3.9,42,450,39.1969804,-120.2357055,http://www.onthesnow.com/california/squaw-valley-usa/ski-resort.html
273,Steamboat,Steamboat SPrings,CO,2305 Mt. Werner Circle,80487,1,5,14,42,44,0,165,2965,99,57,6900ft - 10568ft,11/25-4/10,4.3,18,352,40.4849769,-106.8317158,http://www.onthesnow.com/colorado/steamboat/ski-resort.html
274,Stevens Pass Resort,Skykomish,WA,P.O. Box 98,98288,1,4,6,48,28,18,50,1125,69,0,4060ft - 5845ft,12/ 4-4/19,3.2,10,460,47.7092746,-121.3601014,http://www.onthesnow.com/washington/stevens-pass-resort/ski-resort.html
275,Stowe Mountain Resort,Stowe,VT,5781 Mountain Rd.,05672,0,0,16,55,29,14,115,485,N/A,N/A,2035ft - 4395ft,11/25-4/19,3.6,13,314,44.4654332,-72.6874023,http://www.onthesnow.com/vermont/stowe-mountain-resort/ski-resort.html
276,Stratton Mountain,Stratton,VT,RR #1 Box 145,05155,0,4,41,31,17,11,97,670,N/A,N/A,1872ft - 3875ft,11/28-4/13,3.7,11,180,43.0428562,-72.9109334,http://www.onthesnow.com/vermont/stratton-mountain/ski-resort.html
277,Sugar Bowl Resort,Norden,CA,P.O. Box 5,95724,1,3,17,45,26,12,103,1650,103,51,6883ft - 8383ft,11/20-4/10,3.4,13,500,39.3174625,-120.3296682,http://www.onthesnow.com/california/sugar-bowl-resort/ski-resort.html
278,Sugarbush,Warren,VT,1840 Sugarbush Access Road,05674,0,5,20,45,28,7,111,508,75,57,1482ft - 4083ft,11/26-4/10,3.4,16,262,44.112005,-72.8559474,http://www.onthesnow.com/vermont/sugarbush/ski-resort.html
279,Sugarloaf,Carrabassett,ME,5092 Access Road,04947,0,3,23,34,28,16,162,1230,86,59,1417ft - 4237ft,11/21-5/ 3,3.2,13,200,45.0778332,-70.2120112,http://www.onthesnow.com/maine/sugarloaf/ski-resort.html
280,Sugar Mountain Resort,Banner,NC,P.O. Box 369,28604,1,1,33,43,19,5,21,125,72,34,4100ft - 5300ft,11/15-3/29,2.8,8,77,35.3907897,-78.5433701,http://www.onthesnow.com/north-carolina/sugar-mountain-resort/ski-resort.html
281,Suicide Six,Woodstock,VT,14 The Green,05091,0,0,30,40,30,0,23,100,66,10,550ft - 1200ft,1/12-3/22,3.1,3,90,43.6242442,-72.5185112,http://www.onthesnow.com/vermont/suicide-six/ski-resort.html
282,Sunburst,Kewaskum,WI,8355 Prospect Drive,53040,1,4,15,46,31,8,13,37,N/A,N/A,866ft - 1100ft,11/28-3/22,2.8,9,50,43.5208302,-88.2289851,http://www.onthesnow.com/wisconsin/sunburst/ski-resort.html
283,Sundance,Sundance,UT,"RR #3, Box A-1",84604,0,1,35,45,20,0,45,450,65,21,6100ft - 8250ft,12/ 4-4/ 3,3.5,5,320,40.3934222,-111.5887709,http://www.onthesnow.com/utah/sundance/ski-resort.html
284,Sunday River,Newry,ME,PO Box 4500,04217,1,5,21,32,23,23,135,870,89,45,825ft - 3150ft,10/19-5/ 1,3.4,15,167,44.4884245,-70.7885765,http://www.onthesnow.com/maine/sunday-river/ski-resort.html
285,Sundown Mountain,Dubuque,IA,16991 Asbury Road,52002,1,2,30,60,0,10,21,55,44,0,583ft - 1058ft,12/25-3/22,2.7,6,45,42.5005583,-90.6645718,http://www.onthesnow.com/iowa/sundown-mountain/ski-resort.html
286,Sunlight Mountain Resort,Glenwood,CO,10901 County Road 117,81601,0,1,20,55,20,5,67,680,60,0,7885ft - 9895ft,12/ 4-4/ 3,3,3,250,41.0469437,-95.7425056,http://www.onthesnow.com/colorado/sunlight-mountain-resort/ski-resort.html
287,Sunrise Park Resort,Greer,AZ,P.O. Box 117,85927,1,2,40,40,20,0,65,800,66,39,9200ft - 11100ft,11/26-3/29,2.9,7,250,34.0095187,-109.4585456,http://www.onthesnow.com/arizona/sunrise-park-resort/ski-resort.html
288,Sun Valley,Sun Valley,ID,P.O. Box 10,83353,0,0,36,42,20,2,80,2054,N/A,N/A,5750ft - 9150ft,11/26-4/15,4.2,19,220,43.6971294,-114.3517172,http://www.onthesnow.com/idaho/sun-valley/ski-resort.html
289,Swain,Swain,NY,P.O. Box 44,14884,1,3,27,39,33,0,33,120,54,0,1320ft - 1970ft,1/ 7-4/ 2,3,5,130,42.4778443,-77.8533322,http://www.onthesnow.com/new-york/swain/ski-resort.html
290,Swiss Valley,Jones,MI,Route #1,49061,1,2,36,36,27,0,11,60,39,0,975ft - 1200ft,1/12-3/22,2.9,7,60,41.9042867,-85.7988714,http://www.onthesnow.com/michigan/swiss-valley/ski-resort.html
291,Tahoe Donner,Truckee,CA,11509 Northwoods Blvd.,96161,0,4,40,60,0,0,16,120,47,16,6750ft - 7350ft,12/11-4/10,2.7,5,400,39.327962,-120.1832533,http://www.onthesnow.com/california/tahoe-donner/ski-resort.html
292,Tamarack Resort,Tamarack,ID,PMB 3003,83615,0,3,17,45,38,0,42,1000,62,18,4900ft - 7700ft,12/11-3/27,3.7,6,300,44.9551656,-116.3856896,http://www.onthesnow.com/idaho/tamarack-resort/ski-resort.html
293,Taos Ski Valley,Taos,NM,P.O. Box 90,87525,0,2,15,17,32,36,112,1294,86,48,9206ft - 12481ft,11/26-4/ 3,4.1,15,305,36.4072485,-105.5730665,http://www.onthesnow.com/new-mexico/taos-ski-valley/ski-resort.html
294,Telluride,Telluride,CO,565 Mountain Village Blvd.,81435,0,4,16,30,54,0,147,2000,118,0,8725ft - 13150ft,11/25-4/ 3,4.4,18,309,37.9374939,-107.8122852,http://www.onthesnow.com/colorado/telluride/ski-resort.html
295,Terry Peak Ski Area,Lead,SD,P.O. Box 774,57754,0,1,20,50,15,15,29,450,53,0,5900ft - 7100ft,12/ 5-3/29,3,5,150,44.3522065,-103.7651984,http://www.onthesnow.com/south-dakota/terry-peak-ski-area/ski-resort.html
296,Teton Pass Ski Resort,Choteau,MT,PO Box 1354,59422,0,1,15,35,40,10,43,330,39,0,6189ft - 7200ft,12/18-3/21,3,3,250,47.8124531,-112.1836301,http://www.onthesnow.com/montana/teton-pass-ski-area/ski-resort.html
297,The Homestead,Glen,MI,1 Wood Ridge Road,49636,1,1,27,53,20,0,15,16,50,20,580ft - 900ft,1/ 2-3/ 6,2.6,5,150,42.5203052,-86.2275333,http://www.onthesnow.com/michigan/the-homestead/ski-resort.html
298,The Homestead Ski Area,Hot Springs,VA,PO Box 2000,24445,0,0,33,33,34,0,10,45,49,29,2500ft - 3200ft,1/ 9-3/29,2.7,5,50,37.9993993,-79.831587,http://www.onthesnow.com/virginia/the-homestead-ski-area/ski-resort.html
299,The Summit at Snoqualmie,Snoqualmie,WA,P.O. Box 1068,98068,1,2,17,37,37,10,112,1994,66,12,2640ft - 5420ft,12/11-5/ 5,2.8,25,429,47.5287132,-121.8253906,http://www.onthesnow.com/washington/the-summit-at-snoqualmie/ski-resort.html
300,Thunder Ridge,Patterson,NY,"Rt. #22, PO Box 627",12563,1,0,40,40,20,0,30,100,50,12,770ft - 1270ft,1/ 7-3/22,3,6,N/A,41.513264,-73.6048288,http://www.onthesnow.com/new-york/thunder-ridge/ski-resort.html
301,Timberline Four Seasons,Davis,WV,HC 70 Box 488,26260,1,1,34,32,14,20,39,100,N/A,N/A,3267ft - 4268ft,12/22-3/22,3.3,4,150,39.1287189,-79.4647739,http://www.onthesnow.com/west-virginia/timberline-four-seasons/ski-resort.html
302,Timberline Lodge,TImberline,OR,Mountain Services Office,97028,1,5,25,50,25,0,41,1415,70,26,6000ft - 8539ft,11/21-5/25,3.1,6,550,45.3140631,-121.7262328,http://www.onthesnow.com/oregon/timberline-lodge/ski-resort.html
303,Timber Ridge,Gobles,MI,07500 23 1/2 Street,49055,1,2,44,38,0,19,16,50,39,0,600ft - 850ft,1/ 4-3/15,3.1,8,N/A,42.3608691,-85.8794635,http://www.onthesnow.com/michigan/timber-ridge/ski-resort.html
304,Titus Mountain,Malone,NY,215 Johnson Rd.,12953,1,3,34,38,22,6,50,200,45,23,825ft - 2025ft,1/ 2-4/ 5,3,10,100,44.8486596,-74.2948983,http://www.onthesnow.com/new-york/titus-mountain/ski-resort.html
305,Toggenburg Mountain,Fabius,NY,P.O. Box 162,13063,1,2,33,33,34,0,21,85,50,15,1300ft - 2000ft,1/ 8-3/29,2.8,5,130,42.835067,-75.9860322,http://www.onthesnow.com/new-york/toggenburg-mountain/ski-resort.html
306,Treetops Resort,Gaylord,MI,3962 Wilkinson Road,49735,1,4,17,43,39,0,23,80,N/A,N/A,1120ft - 1345ft,12/11-3/27,2.8,5,175,45.0275126,-84.6747523,http://www.onthesnow.com/michigan/treetops-resort/ski-resort.html
307,Trollhaugen,Dresser,W,2232 100th Avenue,54009,1,3,26,39,35,0,24,86,N/A,N/A,920ft - 1200ft,12/17-3/28,2.6,8,50,45.3560738,-92.6335386,http://www.onthesnow.com/wisconsin/trollhaugen/ski-resort.html
308,Tussey Mountain,Boalsburg,PA,P.O. Box 885,16827,1,1,40,40,0,20,8,38,45,0,1230ft - 1750ft,1/ 7-3/29,2.9,5,41,40.7756184,-77.7924992,http://www.onthesnow.com/pennsylvania/tussey-mountain/ski-resort.html
309,Tuxedo Ridge at Sterling Forest,Tuxedo,NY,581 Route 17A,10987,1,0,14,28,42,16,12,35,60,0,785ft - 1185ft,4/30-4/30,2.9,4,36,41.2376671,-74.1944529,http://www.onthesnow.com/new-york/tuxedo-ridge-at-sterling-forest/ski-resort.html
310,Tyrol Basin,Mt.Horeb,WI,3487 Bohn Road,53572,1,5,23,33,40,4,18,32,48,0,860ft - 1160ft,11/28-3/29,3,5,41,43.008608,-89.7384562,http://www.onthesnow.com/wisconsin/tyrol-basin/ski-resort.html
311,Vail,Vail,CO,P.O. Box 7,81658,0,3,18,29,28,25,195,5289,N/A,N/A,8120ft - 11570ft,11/20-4/10,4.1,31,353,39.6402638,-106.3741955,http://www.onthesnow.com/colorado/vail/ski-resort.html
312,Villa Olivia,Bartlett,IL,1401 W. Lake St.,60103,1,1,40,40,10,10,7,15,39,16,320ft - 500ft,1/ 2-3/16,2.9,7,25,41.9950276,-88.1856301,http://www.onthesnow.com/illinois/villa-olivia/ski-resort.html
313,Wachusett Mountain Ski Area,Princeton,MA,499 Mountain Road,01541,1,2,19,62,19,0,26,112,N/A,N/A,1006ft - 2006ft,12/20-4/10,3.3,8,100,42.4487019,-71.877296,http://www.onthesnow.com/massachusetts/wachusett-mountain-ski-area/ski-resort.html
314,Welch Village,Welch,MN,Box 146,55089,1,1,31,50,15,4,50,125,54,44,700ft - 1060ft,11/27-3/21,3,10,45,44.5683003,-92.7385321,http://www.onthesnow.com/minnesota/welch-village/ski-resort.html
315,West Mountain,Glen,NY,59 West Mountain Rd.,12804,1,1,36,55,9,0,29,124,48,32,460ft - 1470ft,1/ 6-4/ 5,2.9,5,80,42.8942407,-74.3445781,http://www.onthesnow.com/new-york/west-mountain/ski-resort.html
316,Whaleback Mountain,Enfiled,NH,Enfield,03748,1,2,23,41,23,13,30,85,45,22,1100ft - 1800ft,1/10-3/29,3.1,3,110,43.640644,-72.143983,http://www.onthesnow.com/new-hampshire/whaleback-mountain/ski-resort.html
317,Whitecap Mountain,Upson,WI,9106 W County Road E,54565,0,1,33,33,22,12,43,400,45,17,1295ft - 1750ft,12/17-3/22,2.9,7,200,46.3689809,-90.4068069,http://www.onthesnow.com/wisconsin/whitecap-mountain/ski-resort.html
318,Whiteface Mountain Resort,Wilmington,NY,Whiteface Mountain Route 86,12997,0,5,20,42,38,0,80,288,92,58,1220ft - 4650ft,11/27-4/19,3.1,11,168,44.3886137,-73.8154356,http://www.onthesnow.com/new-york/whiteface-mountain-resort/ski-resort.html
319,Whitefish Mountain Resort,Whitefish,MT,P.O. Box 1400,59937,1,3,12,40,42,6,105,3000,73,31,4464ft - 6816ft,12/ 5-4/10,3.3,14,300,48.4106373,-114.3352652,http://www.onthesnow.com/montana/whitefish-mountain-resort/ski-resort.html
320,White Pass,White,WA,P.O. Box 3030,98937,1,2,20,60,20,0,45,1402,62,5,4500ft - 6550ft,11/28-4/26,3.3,8,350,47.044795,-122.8999092,http://www.onthesnow.com/washington/white-pass/ski-resort.html
321,White Pine Ski Area,Pinedale,WY,P.O. Box 1420,82941,0,0,28,32,40,0,25,370,N/A,N/A,8400ft - 9500ft,12/ 4-3/28,2,2,150,42.8678809,-109.8633501,http://www.onthesnow.com/wyoming/white-pine-ski-area/ski-resort.html
322,Whitetail Resort,Mercersburg,PA,13805 Blairs Valley Rd.,17236,1,2,32,45,0,23,25,120,77,0,865ft - 1800ft,1/ 7-3/27,3.2,9,40,39.8278698,-77.9033314,http://www.onthesnow.com/pennsylvania/whitetail-resort/ski-resort.html
323,Wildcat Mountain,Jackson,NH,P.O. Box R,03846,0,1,21,46,33,0,48,225,79,40,1950ft - 4062ft,11/25-5/ 1,3,5,200,44.1462613,-71.1850996,http://www.onthesnow.com/new-hampshire/wildcat-mountain/ski-resort.html
