ID,1-wthr,1-dscr,1-avg_day,1-avg_night,1-t_min,1-t_max,1-pres,1-humd,1-w_spd,1-rain,1-snow,2-wthr,2-dscr,2-avg_day,2-avg_night,2-t_min,2-t_max,2-pres,2-humd,2-w_spd,2-rain,2-snow,3-wthr,3-dscr,3-avg_day,3-avg_night,3-t_min,3-t_max,3-pres,3-humd,3-w_spd,3-rain,3-snow,4-wthr,4-dscr,4-avg_day,4-avg_night,4-t_min,4-t_max,4-pres,4-humd,4-w_spd,4-rain,4-snow,5-wthr,5-dscr,5-avg_day,5-avg_night,5-t_min,5-t_max,5-pres,5-humd,5-w_spd,5-rain,5-snow,6-wthr,6-dscr,6-avg_day,6-avg_night,6-t_min,6-t_max,6-pres,6-humd,6-w_spd,6-rain,6-snow,7-wthr,7-dscr,7-avg_day,7-avg_night,7-t_min,7-t_max,7-pres,7-humd,7-w_spd,7-rain,7-snow
47,Clear,clear sky,10.53,2.86,2.86,10.53,994.01,68,6.67,0,0.02,Clear,clear sky,18.16,9.25,-5.27,21.42,995.84,75,4.32,0,0,Snow,light snow,32,27.57,12.04,34.02,993.7,74,8.79,0,0.38,Snow,light snow,37.51,14.27,14.27,39.22,993.31,83,4.61,0,0.14,Snow,snow,28.11,20.8,20.8,28.11,974.81,0,17.76,0,2.86,Snow,snow,20.93,14.52,14.52,20.93,988.69,0,17.54,0,1.59,Snow,snow,20.41,9.25,9.25,20.41,985.81,0,17.67,0,2.85
48,Clouds,scattered clouds,37.78,37.78,37.78,37.78,1020.6,87,6.22,0,0,Clear,clear sky,34.03,23.34,23.34,37.67,1026.12,73,4.27,0,0,Clear,clear sky,27.14,33.35,19.81,35.49,1038.47,90,5.73,0,0.01,Snow,snow,35.37,37.92,21.13,37.92,1028.4,0,5.64,4.86,2.11,Rain,heavy intensity rain,57,49.87,46.53,57,989.4,0,13.53,31.07,0,Snow,light snow,34.97,26.73,26.73,36.54,992.34,0,18.75,0.93,0.45,Snow,light snow,33.6,28.78,26.37,33.6,1019.45,0,9.6,0,0.06
49,Clear,clear sky,27.79,26.42,26.42,27.79,999.85,84,5.77,0,0,Clear,clear sky,35.78,23.5,22.08,36.52,1003.13,83,4.88,0,0,Clear,clear sky,41.58,25.74,22.96,42.03,1001.49,75,5.21,0,0,Rain,moderate rain,43.59,38.03,32.04,44.08,998.91,73,6.96,3.46,0,Snow,snow,34.68,28.33,28.33,41.81,970.75,0,21.88,2.17,3.82,Snow,snow,29.35,18.84,18.84,29.35,990.71,0,19.73,0,4.43,Snow,snow,30.99,26.29,11.93,32.32,993.71,0,12.66,1.48,2.64
50,Clear,clear sky,32.77,31.41,31.41,32.77,1014.6,95,5.77,0,0.02,Clear,clear sky,27.59,15.53,15.53,27.59,1022.74,74,5.66,0,0,Snow,light snow,31.82,34.86,17.42,37.29,1022.8,76,3.42,0.37,0.08,Clear,clear sky,42.01,34.16,29.39,42.01,1019.73,79,3.6,0,0.03,Snow,snow,54.12,31.33,31.33,54.12,966.09,0,7.54,6.68,1.57,Snow,snow,25.7,22.41,22.41,26.04,987.88,0,17.58,0,5.34,Snow,light snow,30.22,32.68,18.68,32.68,1001.01,0,9.35,0,0.93
51,Clear,clear sky,27.43,18.41,18.41,27.43,734.86,42,7.56,0,0,Snow,snow,35.46,22.15,6.6,36.93,729.23,47,3.65,0,7.59,Snow,snow,16.7,-0.37,-0.37,18.9,733.01,77,9.8,0,3.49,Snow,light snow,24.51,-2.56,-2.56,31.3,735.3,73,3.71,0,0.07,Clear,clear sky,31.48,15.76,-3.29,34.77,723.72,0,3.09,0,0.01,Clear,clear sky,35.6,12.36,7.83,35.6,723.42,0,3.53,0,0,Snow,light snow,40.03,18.79,3.42,40.03,723.58,0,3.11,0,0.21
52,Snow,light snow,24.55,24.55,24.55,24.55,955.83,75,6.44,0,0.19,Clear,clear sky,13.24,2.68,2.68,18.05,960.62,50,5.73,0,0,Snow,light snow,11.75,19.35,-4.22,22.35,971.1,48,2.93,0,0.08,Snow,light snow,27.93,15.37,15.37,35.58,966.55,75,3.13,0,0.03,Snow,light snow,49.12,47.71,35.46,53.49,945.42,0,7.11,25.21,0.45,Snow,snow,26.38,14.07,14.07,34.02,942.28,0,13.09,9.08,7.4,Snow,light snow,19.02,18.43,10.67,19.02,971.63,0,7.47,0,0.37
53,Clear,clear sky,29.23,20.16,20.16,29.23,824.43,89,3.31,0,0,Snow,light snow,40.91,25.66,19.6,41.61,820.1,53,3.42,0.31,1.36,Snow,light snow,27.36,14.04,14.04,33.3,825.75,68,8.01,0,0.3,Clear,clear sky,35.62,18.1,13.14,42.96,828.03,54,3.15,0,0,Clear,clear sky,42.37,18.91,15.48,50.97,823.02,0,3.38,0,0,Clear,clear sky,48.7,22.17,15.33,53.15,822.51,0,2.82,0,0,Rain,light rain,49.17,27.79,25.65,55.15,819.44,0,3.04,0,0
54,Clouds,few clouds,26.62,26.46,26.46,26.62,839.19,60,3.76,0,0,Snow,light snow,32.67,24.22,24.22,33.96,837.77,51,8.79,0,0.96,Clear,clear sky,30.78,16.2,12.83,34.23,846.5,63,3.42,0,0.01,Clear,clear sky,34.99,22.46,11.34,39.58,843.43,43,3.38,0,0,Clear,clear sky,36.12,22.21,22.21,41.7,832.75,0,2.86,0.33,0.03,Clear,clear sky,38.39,26.19,14.04,42.89,834.88,0,3.06,0,0,Clear,clear sky,41.52,22.93,22.93,45.01,832.61,0,2.35,0,0
55,Clear,clear sky,40.39,28.36,28.36,40.39,872.76,84,2.37,0,0,Snow,snow,30.65,30.16,29.17,32.81,868.9,100,3.98,0,7.48,Clear,clear sky,29.21,19.47,19.47,31.35,875.27,100,3.76,0,0,Clear,clear sky,29.61,20.01,13.66,34.77,850.07,0,3.11,0,0.02,Clear,clear sky,33.06,21.04,14.4,37.29,848.15,0,0.65,0,0.02,Clear,clear sky,38.3,23.07,16.83,40.86,847.24,0,2.71,0,0,Rain,light rain,39.81,26.83,21.15,42.67,842.94,0,2.62,0.23,0
56,Clear,clear sky,32.77,31.41,31.41,32.77,1014.6,95,5.77,0,0.02,Clear,clear sky,27.59,15.53,15.53,27.59,1022.74,74,5.66,0,0,Snow,light snow,31.82,34.86,17.42,37.29,1022.8,76,3.42,0.37,0.08,Clear,clear sky,42.01,34.16,29.39,42.01,1019.73,79,3.6,0,0.03,Snow,snow,54.12,31.33,31.33,54.12,966.09,0,7.54,6.68,1.57,Snow,snow,25.7,22.41,22.41,26.04,987.88,0,17.58,0,5.34,Snow,light snow,30.22,32.68,18.68,32.68,1001.01,0,9.35,0,0.93
57,Rain,light rain,32.74,26.82,26.82,32.74,978.04,75,3.98,0,0,Snow,light snow,32.27,14.09,14.09,32.27,983.11,54,4.32,0,0.1,Snow,light snow,28.94,25.02,13.64,32.04,991.51,62,4.32,0,0.17,Snow,light snow,37.96,27.32,23.4,40.84,985.05,69,2.93,0,0.11,Rain,heavy intensity rain,58.98,38.08,38.08,58.98,957.17,0,8.1,31.49,0,Snow,snow,28,20.91,20.91,30.99,965.99,0,12.46,0.23,4.05,Snow,light snow,29.14,27.28,20.48,29.14,988.65,0,3.78,0,0.22
58,Snow,light snow,28.6,26.96,26.96,28.6,997.9,78,5.99,0,0.07,Snow,light snow,32.94,18.41,18.41,35.17,997.54,83,4.21,0,0.1,Snow,light snow,37.58,24.57,11.98,40.08,997.19,90,6.44,0.73,0.07,Clear,clear sky,35.62,15.08,15.08,38.05,999.39,99,4.94,0,0,Snow,light snow,27.75,20.68,20.68,27.75,984.74,0,20.24,0,0.72,Snow,light snow,24.13,11.16,11.16,24.13,994.36,0,15.48,0,0.43,Snow,light snow,17.17,0.01,0.01,17.17,988.65,0,18.54,0,0.11
59,Snow,light snow,30.67,28.04,28.04,30.67,818.19,68,1.97,0,0.47,Snow,light snow,29.34,16.57,16.57,32.47,817.99,48,2.53,0,1.25,Clear,clear sky,25.88,15.78,10.13,32.88,821.94,55,2.42,0,0,Clouds,few clouds,29.91,22.15,12.83,40.3,821.39,52,2.15,0,0,Clear,clear sky,34.27,25.39,19.8,42.39,850.58,0,2.04,0,0.01,Clear,clear sky,39.02,29.34,20.61,45.95,849.67,0,2.42,0,0,Clear,clear sky,37.51,33.49,29.34,43,846.59,0,1.66,0.6,0.01
60,Rain,light rain,39.79,39.54,39.54,39.79,947.89,96,2.08,1.95,0,Clear,clear sky,44.87,34.66,34.66,46.33,952.14,66,2.98,0,0.02,Rain,light rain,41.36,36.99,32.41,42.15,952.77,84,2.98,1.88,0,Rain,heavy intensity rain,40.05,53.08,35.08,53.08,961.93,0,3.06,14.56,0,Snow,light snow,48.58,29.59,29.59,52.43,935.49,0,10.8,6.75,1.46,Snow,light snow,32.81,27.93,27.12,32.81,956.47,0,10.89,0,0.72,Snow,light snow,39.45,34.63,25.2,39.45,963.11,0,5.55,1.67,0.32
61,Clear,clear sky,28.09,26.24,26.24,28.09,1003.33,83,7.56,0,0.03,Snow,light snow,32.45,22.46,16.99,35.62,1001.11,82,5.55,0,0.1,Snow,snow,35.91,23.49,21.65,38.43,1000.27,89,5.99,0,1.63,Clear,clear sky,31.44,21.47,14,36.25,1004.42,86,4.38,0,0,Snow,light snow,25.27,23.41,23.41,25.27,988.79,0,21.52,0,0.91,Snow,light snow,19.36,8.73,8.73,19.67,997.2,0,13.71,0,0.14,Snow,light snow,11.14,-1.74,-1.74,11.14,992.09,0,22.44,0,0.09
62,Clear,clear sky,11.71,10.4,10.4,11.71,985.74,79,4.65,0,0.01,Snow,light snow,25.34,16.21,14.79,28.42,980.35,91,9.8,0,0.5,Snow,light snow,28.13,8.31,8.31,28.13,982.52,87,12.71,0,0.19,Snow,light snow,26.89,22.73,9.77,32.38,983.51,92,11.21,0,0.1,Snow,light snow,20.64,16.09,16.09,24.6,976.43,0,19.73,0,0.43,Clear,clear sky,9.46,7.86,1.2,12.11,982.61,0,14.29,0,0.02,Snow,light snow,-0.15,-7.23,-7.23,-0.15,980.54,0,23.89,0,0.09
63,Clear,clear sky,31.51,29.88,29.88,31.51,1013.62,92,10.25,0,0.03,Clear,clear sky,28.94,18.82,18.82,28.94,1019.99,82,6.22,0,0,Snow,light snow,33.26,30.27,20.17,35.49,1019,79,8.01,0,0.48,Snow,light snow,39.36,33.4,30.65,40.12,1016.82,79,7.85,0,0.49,Snow,snow,45.39,28.72,28.72,47.61,967.31,0,14.63,6.8,3.03,Snow,snow,25.16,20.16,20.16,25.16,991.73,0,23.89,0,4.05,Snow,snow,29.64,31.48,17.42,31.48,1000.2,0,17.18,0,2.07
64,Clear,clear sky,21.79,18.77,18.77,21.79,992.47,67,5.21,0,0.02,Clouds,few clouds,28.04,12.07,6.37,30.63,994.38,46,3.65,0,0,Clear,clear sky,36.77,22.8,14.59,39,992.89,58,4.65,0,0.01,Snow,light snow,41.11,18.86,18.86,42.19,991.77,69,3.6,0,0.08,Snow,snow,30,22.84,22.84,30.6,971.56,0,16.89,0,3.68,Snow,light snow,25.07,15.66,15.66,25.07,985.85,0,12.5,0,0.94,Snow,light snow,23.34,11.89,11.89,23.34,984.8,0,15.73,0,1.32
65,Clouds,few clouds,32.29,32.29,32.29,32.29,1018.57,95,7.23,0,0,Clear,clear sky,24.62,19.15,19.15,28.02,1025.06,100,8.97,0,0,Clear,clear sky,18.59,26.42,12.25,28.11,1039.2,100,4.5,0,0,Snow,snow,35.1,30.52,25.16,35.89,1030.99,95,4.59,0.73,2.67,Snow,light snow,48.99,46.06,41.9,49.17,1001.76,0,24.58,46.86,0.03,Snow,light snow,38.48,30.36,30.36,42.33,995.17,0,27.87,1.19,0.45,Snow,light snow,30.09,33.82,26.91,33.82,1027.35,0,15.99,0.38,0.37
66,Rain,light rain,40.23,34.97,34.97,40.23,1005.12,97,3.87,1.69,0,Clear,clear sky,45.09,26.78,26.78,45.3,1010.35,55,3.42,0,0,Snow,light snow,40.73,33.06,30.34,40.73,1015.1,83,7,1.12,0.22,Snow,light snow,36.39,44.89,31.48,44.89,1004.49,0,6.17,18.74,0.18,Snow,light snow,60.96,34.03,34.03,60.96,966.09,0,9.57,28.84,0.13,Snow,light snow,33.31,27.81,27.81,33.31,984.84,0,12.71,0,0.86,Snow,light snow,35.49,33.46,24.8,35.49,1001.21,0,5.01,0,0.23
67,Rain,light rain,43.86,40.84,40.84,43.86,1024.41,91,3.65,2.84,0,Clear,clear sky,44.37,37.13,35.38,45.39,1030.12,89,2.19,0,0,Rain,light rain,41.9,37.35,36.82,41.9,1036.5,79,12.03,0.78,0,Snow,light snow,38.34,46.78,34.36,46.78,1022.72,0,8.05,15.86,0.08,Rain,heavy intensity rain,59.34,37.9,37.9,59.34,983.92,0,12.73,31.45,0,Snow,light snow,35.87,30.63,30.63,35.87,1000.85,0,15.05,0.23,0.51,Snow,light snow,36.34,36.91,28.8,36.91,1019.45,0,4.72,0.25,0.19
68,Rain,light rain,38.75,35.42,35.42,38.75,940.51,100,2.86,1.37,0,Clouds,few clouds,44.91,35.53,30.09,46.15,943.39,66,3.09,0,0,Rain,light rain,43.77,37.99,30.92,47.1,943.77,78,3.76,0.26,0,Rain,heavy intensity rain,41.16,37.49,36.32,41.16,940.06,100,4.94,15.48,0,Snow,snow,39.72,26.65,26.65,50.18,931.03,0,12.24,6.92,4.38,Snow,snow,29.71,26.31,24.39,29.71,950.39,0,11.25,0,2.34,Snow,snow,35.53,32.68,23.85,35.53,954.81,0,6.31,1.53,2.33
69,Snow,light snow,27.82,21.51,21.51,27.82,978.53,70,5.77,0,0.03,Clear,clear sky,23.54,0.46,0.46,23.54,983.76,40,4.76,0,0,Snow,light snow,25.16,21.27,-1.61,27.39,991.35,55,4.76,0,0.22,Clear,clear sky,38.32,15.98,15.98,39.67,985.45,56,1.14,0,0,Rain,heavy intensity rain,54.21,44.29,41.31,54.21,953.12,0,6.89,30.1,0,Snow,snow,27.14,18.12,18.12,31.89,956.26,0,11.77,2.21,5.76,Snow,light snow,24.96,22.75,16.2,24.96,982.57,0,5.3,0,0.21
70,Clear,clear sky,26.8,23.49,23.49,26.8,1006.66,78,9.24,0,0,Snow,light snow,30.65,26.33,18.93,32.52,1008.97,56,8.46,0,0.08,Clear,clear sky,39.29,18.72,16.52,41.79,1008.38,67,4.99,0,0,Clear,clear sky,44.04,26.69,19.94,46.11,1005.96,74,8.08,0,0.02,Snow,snow,32.25,27.1,27.1,32.25,984.53,0,22.5,0,2.34,Snow,snow,27.68,23.07,23.07,27.68,998.21,0,20.11,0,2.81,Snow,snow,26.76,16.03,16.03,26.76,997.16,0,15.9,0,4.22
71,Clear,clear sky,30.2,27.88,27.88,30.2,1003.25,82,2.75,0,0.01,Snow,snow,31.77,25.34,23.34,33.51,1002.81,98,7.9,0,1.57,Snow,light snow,34.65,27.66,22.32,35.1,1002.78,100,5.66,0,0.05,Snow,light snow,35.55,27.3,21.22,35.55,996.58,0,10.16,0,0.34,Snow,light snow,27.12,22.03,22.03,27.12,983.32,0,22.06,0,0.33,Snow,light snow,22.06,11.37,11.37,22.06,994.36,0,18.34,0,0.14,Snow,light snow,17.22,3.04,3.04,17.22,989.46,0,16.78,0,0.28
72,Rain,moderate rain,53.6,52.16,52.16,53.6,953.08,99,4.21,4.52,0,Rain,light rain,57.96,47.66,47.66,57.96,952.71,75,2.19,1.21,0,Rain,light rain,54.95,44.19,44.19,57.63,951.71,83,3.2,1.13,0,Rain,moderate rain,54.9,51.51,41.2,56.7,942.68,0,12.01,8.94,0,Snow,snow,35.4,27.79,27.79,41.85,941.37,0,12.5,4.34,1.78,Snow,light snow,39.02,24.87,24.87,39.02,955.25,0,7.61,0,0.16,Clear,clear sky,41.52,35.98,23.22,41.52,954.81,0,2.95,8.19,0.01
73,Clouds,broken clouds,34.72,28.67,28.67,34.72,1003.98,80,4.09,0,0,Clear,clear sky,42.08,22.73,21.81,42.08,1008.89,51,3.76,0,0.01,Snow,light snow,39.38,28.56,24.89,41.49,1015.83,63,3.42,0,0.76,Snow,light snow,38.86,34.16,30.15,42.15,1009.85,74,4.16,0,1.02,Snow,light snow,59.97,35.89,35.89,59.97,962.85,0,7.78,33.84,0.07,Snow,snow,31.64,25.29,25.29,31.64,977.14,0,12.3,0,2.27,Snow,light snow,33.24,30.76,22.82,33.24,996.75,0,3.67,0,0.22
74,Clouds,few clouds,29.88,27.55,27.55,29.88,1008.44,91,6.78,0,0,Clear,clear sky,37.67,31.87,23.59,40.24,1008.08,88,4.09,0,0.03,Clouds,few clouds,41.61,27.79,21.76,44.02,1008.62,85,4.21,0,0,Snow,light snow,40.71,29.44,29.44,44.53,1007.34,84,9.42,0,0.1,Snow,light snow,28.42,24.91,24.91,29.19,992.64,0,22.19,0,0.66,Snow,light snow,28,16.68,16.68,28,1002.47,0,17.81,0,0.45,Snow,snow,26.85,5.86,5.86,26.85,996.96,0,9.75,0,1.67
75,Snow,light snow,25.97,22.95,22.95,25.97,988.26,90,7.56,0,0.15,Snow,light snow,27.37,17.44,16.77,28.85,987.97,93,4.76,0,0.31,Snow,light snow,33.67,24.8,14.47,36.84,986.98,97,8.23,1.24,0.44,Clear,clear sky,32.16,13.96,13.96,34.9,989.75,100,4.16,0,0,Snow,light snow,26.8,18.82,18.82,26.8,978.25,0,18.7,0,0.83,Snow,light snow,22.46,9.12,9.12,22.46,987.27,0,15.01,0,0.21,Snow,light snow,12.67,-2.37,-2.37,12.67,981.56,0,18.61,0,0.21
76,Snow,light snow,30.94,29.61,29.61,30.94,996.28,93,2.42,0,0.25,Snow,light snow,30.42,16.34,16.34,32.79,996.16,97,4.65,0,0.27,Snow,light snow,37.58,25.77,13.06,39.18,995.73,96,7,0.46,0.05,Clear,clear sky,35.17,14.18,14.18,37.15,997.61,100,6.4,0,0,Snow,light snow,26.35,19.63,19.63,26.35,981.9,0,21.65,0,0.33,Snow,light snow,22.19,10.89,10.89,22.19,992.13,0,17.38,0,0.33,Snow,light snow,17.04,0.43,0.43,17.04,986.62,0,18.03,0,0.22
77,Clear,clear sky,27.79,27.63,27.63,27.79,1001.31,87,6.44,0,0.03,Snow,light snow,35.46,16.93,16.93,37.47,1000.13,59,4.54,0,0.08,Snow,light snow,40.68,27.45,15.58,40.68,999.38,78,7.23,1.48,0.23,Clear,clear sky,35.4,21.25,16.16,39.31,1002.55,85,4.61,0,0,Snow,light snow,27.57,23.32,23.13,27.57,983.92,0,21.41,0,1.19,Snow,light snow,21.7,8.22,8.22,21.96,993.15,0,15.41,0,0.25,Snow,light snow,15.24,-0.75,-0.75,15.24,987.64,0,19.64,0,0.09
78,Snow,light snow,33.31,26.33,26.33,33.31,914.73,97,2.19,0,0.31,Snow,snow,36.97,20.39,20.39,36.97,917.16,79,2.17,0.38,2.51,Clear,clear sky,41.85,27.23,23,41.85,912.4,60,3.94,0,0,Clouds,broken clouds,43.81,28.56,28.56,43.99,913.75,65,2.17,0,0,Rain,light rain,39.22,33.64,28.94,52.47,952.51,0,2.59,0,0,Rain,light rain,40.06,39.09,30.96,47.21,950.79,0,2.57,1.28,0,Rain,light rain,42.6,34.9,34.83,50.74,951.97,0,0.36,0,0
79,Snow,light snow,23.99,21.34,21.34,23.99,743.45,60,3.31,0,0.11,Snow,snow,33.17,21.25,13.48,33.17,737.66,48,0.4,0,11.07,Snow,snow,19.18,12.85,12.85,20.41,742.9,73,2.98,0,5.52,Clear,clear sky,26.4,2.66,0.72,30.36,743.89,64,2.71,0,0,Clear,clear sky,35.8,22.87,1.08,35.8,732.03,0,2.89,0,0,Clear,clear sky,32.18,20.37,18.75,32.18,732.34,0,7.63,0,0,Snow,light snow,40.66,20.44,12.6,40.66,731.89,0,3.87,0.51,0.23
80,Clouds,scattered clouds,28.96,28.96,28.96,28.96,981.69,64,5.55,0,0,Clear,clear sky,22.06,11.46,11.46,26.01,986.72,43,5.39,0,0,Snow,light snow,14.18,20.12,2.57,25.38,998.83,44,2.82,0,0.23,Clear,clear sky,30.63,18.1,16.65,38.28,992.49,71,2.68,0,0.01,Clear,clear sky,53.98,48.79,39.65,54.36,965.89,0,8.01,31.1,0.02,Snow,snow,31.19,20.88,20.88,34.29,965.38,0,12.68,2.19,2.62,Snow,light snow,26.89,20.86,17.89,26.89,993.92,0,6.96,0,0.11
81,Clear,clear sky,19.36,9.81,9.81,19.36,698.39,62,2.75,0,0,Snow,snow,28.62,17.47,2.01,28.62,692.35,54,2.64,0,2.8,Snow,snow,20.3,14.97,14.97,21.99,693.62,47,2.64,0,4.75,Snow,light snow,24.69,1.94,1.94,30.18,697.93,42,2.93,0,0.25,Clear,clear sky,30.09,12.31,-0.04,34.11,732.64,0,1.77,0,0.02,Clear,clear sky,34.93,8.58,5.07,34.93,732.94,0,2.68,0,0,Snow,light snow,34.99,17.38,0.77,36.25,732.3,0,2.55,0,0.16
82,Clouds,scattered clouds,32.65,27.41,27.41,32.65,990.44,78,3.76,0,0,Clear,clear sky,34.11,14.95,14.95,34.11,995.67,53,5.44,0,0.01,Snow,light snow,28.67,26.22,14.45,32.85,1005.21,60,3.42,0,0.21,Snow,light snow,38.1,26.47,24.12,40.12,997.69,70,3.49,0,0.18,Rain,heavy intensity rain,58.12,45.16,45.16,58.12,967.71,0,8.59,27.39,0,Snow,snow,30.74,22.41,22.41,32.76,973.29,0,13.91,0.58,1.62,Snow,light snow,30.94,24.73,22.5,30.94,998.17,0,6.11,0,0.13
83,Snow,light snow,25.92,24.4,24.4,25.92,1012.98,100,9.69,0,0.04,Snow,light snow,26.33,25.21,20.82,29.37,1014.31,100,6.89,0,0.08,Snow,light snow,36.18,33.51,24.04,37.74,1011.62,87,13.04,0.25,0.57,Snow,light snow,35.37,30.81,29.59,35.37,1005.9,0,10.96,0,0.31,Snow,snow,30,24.58,24.58,30,985.55,0,24.07,0,2.26,Snow,snow,22.64,23.61,22.44,23.61,999.02,0,22.77,0,1.87,Snow,snow,19.96,14.11,14.11,19.98,994.73,0,21.9,0,4.84
84,Snow,light snow,38.44,36.95,36.95,38.44,969.94,100,3.42,2.95,0.13,Snow,snow,37.92,27,27,39.61,973.66,100,1.83,4.99,2.38,Clouds,few clouds,48.15,33.93,28.4,48.15,965.74,51,6.17,0,0,Clouds,scattered clouds,48.49,39.76,29.91,49.84,968.14,67,2.62,0,0,Clear,clear sky,38.37,32.74,27.68,50.97,958.59,0,2.64,0,0,Rain,light rain,40.51,40.53,30.96,47.97,956.06,0,2.48,2.25,0,Rain,light rain,43.63,34.21,34.21,49.69,958.25,0,1.19,0,0
85,Snow,light snow,21.51,15.49,15.49,21.51,978.53,70,5.77,0,0.03,Clear,clear sky,18.79,-3.02,-3.02,18.79,983.76,40,4.76,0,0,Snow,light snow,22.95,20.32,-4.46,25.5,991.35,55,4.76,0,0.22,Clear,clear sky,38.32,15.98,15.98,39.67,985.45,56,1.14,0,0,Rain,heavy intensity rain,54.21,44.29,41.31,54.21,953.12,0,6.89,30.1,0,Snow,snow,27.14,18.12,18.12,31.89,956.26,0,11.77,2.21,5.76,Snow,light snow,24.96,22.75,16.2,24.96,982.57,0,5.3,0,0.21
86,Clear,clear sky,19.15,12.29,12.29,19.15,798.09,71,4.32,0,0,Snow,snow,29.3,20.26,15.37,29.3,792.62,92,8.12,0,2.03,Snow,light snow,22.41,1.44,1.44,25.65,800.13,84,10.47,0,0.19,Clear,clear sky,22.71,11.84,-2.74,31.66,801.28,80,4.38,0,0,Clear,clear sky,32.7,16.57,8.82,37.53,783.71,0,2.46,0,0.03,Clear,clear sky,36.05,17.85,11.43,39.92,784.01,0,2.21,0,0,Clear,clear sky,37.56,20.44,15.17,42.04,780.93,0,1.74,0,0
87,Snow,light snow,31.78,29.5,29.5,31.78,999.69,92,4.32,0,0.05,Snow,light snow,36.5,21.61,21.61,39.81,999.24,85,2.19,0,0.45,Clear,clear sky,42.89,32.22,20.12,45.75,999.62,82,4.99,0,0.02,Snow,light snow,38.82,29.64,29.64,38.82,995.16,0,12.88,0.26,0.18,Snow,light snow,27.43,22.69,22.69,27.9,985.75,0,22.28,0,0.3,Snow,light snow,24.44,13.89,13.89,24.93,995.98,0,18.37,0,0.51,Snow,light snow,23.38,2.89,2.89,23.38,990.47,0,14.07,0,0.39
88,Clear,clear sky,35.8,25.7,25.7,35.8,816,77,2.75,0,0,Clear,clear sky,49.71,22.91,22.91,49.71,815.67,34,4.18,0,0,Clouds,scattered clouds,47.01,27.86,19.53,48.51,814.07,41,3.6,0,0,Clear,clear sky,56.46,31.26,27.48,56.46,816.07,36,3.96,0,0,Clear,clear sky,44.49,32.83,26.15,54.39,840.45,0,2.48,0,0,Rain,light rain,46.81,30.99,30.27,54.27,839.74,0,1.77,0,0,Clear,clear sky,46.69,29.23,23.72,51.67,837.47,0,0.43,0,0
89,Clouds,scattered clouds,31.75,28.67,28.67,31.75,818.84,48,4.09,0,0,Snow,light snow,29.93,20.62,20.62,32.07,817.99,49,6.89,0,0.06,Clear,clear sky,27.68,14.04,11.03,33.03,824.69,54,2.98,0,0,Clouds,few clouds,30.58,22.19,9,40.3,822.68,50,2.93,0,0,Snow,light snow,35.17,21.04,21.04,41.52,818.36,0,2.68,0,0.28,Clear,clear sky,35.83,25.05,14.43,42.44,820.08,0,2.57,0,0,Rain,light rain,34.54,31.24,20.88,43.09,817.21,0,2.53,0.28,0
90,Clouds,few clouds,33.49,21.92,21.92,33.49,811.46,84,1.19,0,0,Clear,clear sky,51.69,22.73,19.18,51.69,810.65,30,3.18,0,0,Clouds,scattered clouds,56.34,32.13,22.64,56.34,808.56,42,1.59,0,0,Clear,clear sky,55.11,29.19,27.57,55.11,811.77,42,2.62,0,0,Clear,clear sky,52.14,39.61,38.43,59.7,879.76,0,2.77,0,0,Clear,clear sky,54.59,38.16,38.16,59.04,879.46,0,2.42,0,0,Clear,clear sky,53.89,34.66,33.93,57.88,877.6,0,1.81,0,0
91,Clear,clear sky,35.8,25.7,25.7,35.8,816,77,2.75,0,0,Clear,clear sky,49.71,22.91,22.91,49.71,815.67,34,4.18,0,0,Clouds,scattered clouds,47.01,27.86,19.53,48.51,814.07,41,3.6,0,0,Clear,clear sky,56.46,31.26,27.48,56.46,816.07,36,3.96,0,0,Clear,clear sky,44.49,32.83,26.15,54.39,840.45,0,2.48,0,0,Rain,light rain,46.81,30.99,30.27,54.27,839.74,0,1.77,0,0,Clear,clear sky,46.69,29.23,23.72,51.67,837.47,0,0.43,0,0
92,Snow,light snow,28.69,24.12,24.12,28.69,1015,67,5.66,0,0.1,Clear,clear sky,21.65,10.94,10.94,22.08,1022.01,45,3.76,0,0,Snow,light snow,29.3,25.95,8.6,30.54,1022.89,51,3.09,0,0.81,Snow,light snow,35.98,27.23,26.33,37.38,1019.9,73,3.38,0,1.04,Snow,light snow,54.57,33.73,33.73,54.57,971.56,0,6.91,15.99,1.07,Snow,snow,24.58,18.21,18.21,26.22,989.7,0,16.55,0,7.08,Snow,light snow,27.52,28.69,13.95,28.69,1006.48,0,9.93,0,0.79
93,Snow,snow,47.07,41.47,41.47,47.07,998.15,100,7.9,0.6,2.33,Snow,snow,35.8,31.55,31.55,38.21,1014.68,100,3.62,1.51,2,Snow,light snow,36,34.34,33.48,37.47,1010.08,100,5.39,0.49,0.47,Clear,clear sky,41.67,41.09,38.91,41.67,993.79,0,10.16,4.55,0.01,Rain,light rain,41.67,36.3,36.3,41.67,995.58,0,4.27,0.78,0,Rain,moderate rain,42.71,39.69,38.03,42.71,993.26,0,6.08,6.31,0,Rain,light rain,43.75,38.66,38.66,43.75,998.93,0,4.81,0.89,0
