city,state,area,time,number,lat,lon,score
Fresno,California,3140,12.45817603,5,36.7468422,-119.7725868,1260.216581
Lynn,Massachusetts,2301,31.95272998,17,42.466763,-70.9494938,1224.214645
Hesperia,California,930,3.051778511,4,34.4263886,-117.3008784,1218.961332
Reading,Pennsylvania,2345,29.1986756,15,40.3356483,-75.9268747,1204.677927
San Bernardino,California,930,3.097027341,4,34.1083449,-117.2897652,1201.151811
Quincy,Massachusetts,2411,34.25020469,17,42.2528772,-71.0022705,1196.693578
Kennewick,Washington,2555,6.448961176,3,46.2112458,-119.1372338,1188.563521
Rialto,California,930,3.143067957,4,34.1064001,-117.3703235,1183.556974
Trenton,New Jersey,2664,40.9772496,18,40.2170534,-74.7429384,1170.210311
Fontana,California,930,3.261531765,4,34.0922335,-117.435048,1140.56838
Buffalo,New York,2200,19.53715234,10,42.8864468,-78.8783689,1126.059705
Oakley,California,2782,7.731833746,3,37.9974219,-121.7124536,1079.433453
Rancho Cucamonga,California,930,3.463850836,4,34.1063989,-117.5931084,1073.949248
Syracuse,New York,2148,34.0082259,17,43.0481221,-76.1474244,1073.740221
Farmington Hills,Michigan,1073,6.208404906,6,42.4989936,-83.3677168,1036.981334
Victorville,California,930,3.591318144,4,34.5362184,-117.2927641,1035.831372
Antioch,California,2782,8.187882753,3,38.0049214,-121.805789,1019.311127
Upland,California,930,3.682454348,4,34.09751,-117.6483876,1010.195823
Pontiac,Michigan,1073,6.453297696,6,42.6389216,-83.2910468,997.6294761
Rapid City,South Dakota,1040,2.086679916,2,44.0805434,-103.2310149,996.7987828
Philadelphia,Pennsylvania,2529,38.16433292,15,39.9525839,-75.1652215,993.9909097
Niagara Falls,New York,2160,19.6626466,9,43.0962143,-79.0377388,988.6766719
Westland,Michigan,1073,6.55408642,6,42.324204,-83.400211,982.2879326
Livonia,Michigan,1073,6.576984792,6,42.36837,-83.3527097,978.8680077
Providence,Rhode Island,2262,48.86609168,21,41.8239891,-71.4128343,972.0851079
Camden,New Jersey,2529,39.02713888,15,39.9259463,-75.1196199,972.0159123
Jurupa Valley,California,930,3.852884176,4,33.9971974,-117.4854802,965.510467
Cranston,Rhode Island,2262,49.51414578,21,41.7798226,-71.4372796,959.3622035
Ontario,California,930,3.882784813,4,34.0633443,-117.6508876,958.0752423
Moreno Valley,California,930,3.994920827,4,33.9424658,-117.2296717,931.1824091
Riverside,California,930,4.001337951,4,33.9533487,-117.3961564,929.6890304
Southfield,Michigan,1073,6.959741218,6,42.4733688,-83.2218731,925.034394
Brockton,Massachusetts,1861,30.55879518,15,42.0834335,-71.0183787,913.4849668
Troy,Michigan,1073,7.314550734,6,42.6064095,-83.1497751,880.1634214
Rochester Hills,Michigan,1073,7.360448601,6,42.6583661,-83.1499322,874.6749483
Chino,California,930,4.323242658,4,34.0122346,-117.688944,860.4652327
Pomona,California,930,4.34561556,4,34.055103,-117.7499909,856.0352264
Dearborn,Michigan,1073,7.615666241,6,42.3222599,-83.1763145,845.3626769
Rio Rancho,New Mexico,1340,6.361514614,4,35.2327544,-106.6630437,842.566641
Ann Arbor,Michigan,1173,10.16066911,7,42.2808256,-83.7430378,808.1160712
Albuquerque,New Mexico,1340,6.634025491,4,35.0853336,-106.6055534,807.9558945
Chino Hills,California,930,4.6350034,4,33.9898188,-117.7325848,802.5884079
Sterling Heights,Michigan,1073,8.149301588,6,42.5803122,-83.0302033,790.0063497
Warwick,Rhode Island,1815,41.89149623,18,41.7001009,-71.4161671,779.8718819
Warren,Michigan,1073,8.285768789,6,42.5144566,-83.0146526,776.994889
Corona,California,930,4.822453638,4,33.8752935,-117.5664384,771.3915527
Detroit,Michigan,1073,8.458576921,6,42.331427,-83.0457538,761.120938
Billings,Montana,1784,4.691189936,2,45.7832856,-108.5006904,760.5746194
Perris,California,930,5.12914876,4,33.7825194,-117.2286478,725.266545
Flint,Michigan,1213,13.44317775,8,43.0125274,-83.6874562,721.8531349
Visalia,California,2038,8.496672874,3,36.3302284,-119.2920585,719.5757788
Fond du Lac,Wisconsin,1084,15.44062339,10,43.7730448,-88.4470508,702.0441939
West Covina,California,930,5.353324506,4,34.0686208,-117.9389526,694.8952928
Baldwin Park,California,930,5.431270868,4,34.0852868,-117.9608978,684.9225697
Lansing,Michigan,1439,25.53704412,12,42.732535,-84.5555347,676.1941561
Erie,Pennsylvania,1517,20.7148153,9,42.1292241,-80.085059,659.0934943
